Name,F.year,Incorporated,Address,Website1,Website2,Website3,Contacted,Notes,"To Whom it May Concern: 
My name is Gregory Eng and I am a research assistant at UC Berkeley working for Professor Taeku Lee in our Political Science department. I am part of a project using databases to study the formation of Latinx professional organizations in the United States and am writing in the hopes that you could provide the founding year of the [XXX] to assist in our research.",Panethnic,Source,"Brief Explanation of my Method: 1. Organize the Excel/Numbers sheet by ""entity.name"" 2. Comb through, highlighting cells in green when entered 3. Highlight redundant Cells Orange 4. Highlight Extraneous Cells Pink Use blue if its redundant from the EA set. .. Use a template to send out email contacts-- vast majority lack an actual founding date"
Houston Association Of Hispanic Media Professionals,1986,0,"Houston, TX 77277-3394 USA",https://www.businesswire.com/news/home/20080327005905/en/HAHMP-Empowers-Future-Lauds-Present-Honors-22nd,,,,,,,,
Houston Hispanic Architects & Engineers Society Inc,1999,1,"Houston, TX 77242-1372 USA",https://www.guidestar.org/profile/76-0574597,,,,,,,,
Houston Hispanic Dental Association,2004,0,"Houston, TX USA",http://houstonhda.org;,http://www.facebook.com/Houstonhda,,,,,,Encyclopedia of Associations,
Idaho Hispanic Chamber Of Commerceinc,2008,1,"Boise, ID 83704-5972 USA",https://www.guidestar.org/profile/20-5822787,,,,,,,,
Illinois Association Of Hispanic State Employees,1987,0,"Chicago, IL 60664-1526 USA",http://www.iahse.org/about.html,,,,,,,,
Indiana Latino Bar Association Corp,2016,1,"South Bend, IN 46601-1515 USA",https://www.guidestar.org/profile/81-3286066,,,,,,,,
Indiana State Hispanic Chamber of Commerce,2002,1,"Indianapolis, IN 46205 USA",https://www.guidestar.org/profile/01-0593361,,,Yes,mjgm@ishcc.com,,,Encyclopedia of Associations,
Inland Empire Latino Lawyers Association,1985,0,"Riverside, CA 92507 USA",http://www.iellaaid.org; ,http://www.facebook.com/Inland-Empire-Latino-Lawyers-Association-Inc-64888334939; http://twitter.com/IELLAAID,,,,,,Encyclopedia of Associations,
International Association Of Latino Nurse Faculty,2015,1,"San Antonio, TX 78212-0963 USA",https://www.guidestar.org/profile/47-3513286,,,,,,,,
International Latino Gang Investigators Association,2011,1,"Gig Harbor, WA 98335-3148 USA",https://www.guidestar.org/profile/45-2229058,,,,,,,,
Irving Hispanic Chamber Of Commerce,1998,0,"Irving, TX 75060-3047 USA",https://www.linkedin.com/company/irving-hispanic-chamber-of-commerce,,,,,,,,
IUB Latino Faculty and Staff Council,2002,0,"Bloomington, IN 47405 USA",http://www.iub.edu/~lfasc,,,,,,,Encyclopedia of Associations,
Kansas City Hispanic Association Contractors Enterprise,2009,1,"Kansas City, MO 64101 USA",http://www.kchace.org,https://www.guidestar.org/profile/26-2746514,,Yes,info@kchace.org,,,Encyclopedia of Associations,
Las Cruces Hispanic Chamber of Commerce,1991,0,"Las Cruces, NM 88001 USA",http://lascruceshispanicchamber.com;,http://www.facebook.com/LasCrucesHispanicChamber;,http://www.linkedin.com/profile/view?id=268541640&trk=nav_responsive_tab_profile; http://twitter.com/LCHispanicChamb,,,,,Encyclopedia of Associations,
Las Vegas Latino Bar Association,1999,0,"Las Vegas, NV 89125 USA",http://www.lvlba.com/,https://www.facebook.com/pg/lasvegaslatinobarassociation/about/?ref=page_internal,,Yes,lv.latinobarassociation@gmail.com,,,Encyclopedia of Associations,
Latin Builders Association,1971,0,"Doral, FL 33126 USA",http://lbaorg.com; ,http://www.facebook.com/LBAorg; ,http://www.linkedin.com/groups/123000; http://twitter.com/lbaorg,,,,,Encyclopedia of Associations,
Latina Global Executive Leadership Institute,2014,1,"Orange, CA 92867-1668 USA",https://www.guidestar.org/profile/46-4379762,,,,,,,,
Latina Lawyers Bar Association,2010,0,"Los Angeles, CA 90086-0488 USA",https://www.guidestar.org/profile/31-1602404,,,,,,,,
Latina/o Bar Association of Washington,2001,0,"Seattle, WA 98111 USA",http://www.lbaw.org,,,,,,,Encyclopedia of Associations,
Latino Association Of Tax Preparers Inc,2006,1,"Bronx, NY 10453-4652 USA",https://www.guidestar.org/profile/20-3834646,,,,,,,,
Latino Builders Development Corporation,2004,1,"San Diego, CA 92120-3435 USA",https://www.guidestar.org/profile/20-0424680,,,,,,,,
Latino Builders Industry Association,1994,1,"San Diego, CA 92120 USA",https://www.guidestar.org/profile/33-0601283,,,,,,,,
Latino Business Action Network Inc,2012,0,"Stanford, CA94309-8803 USA",https://www.google.com/search?newwindow=1&ei=W8XrW6biB8Lh0gKM27rYAQ&q=%22Latino+Business+Action+Network+Inc%22+founded&oq=%22Latino+Business+Action+Network+Inc%22+founded&gs_l=psy-ab.3...6844.6844..7097...0.0..0.82.82.1......0....1j2..gws-wiz.L8W5P4Nz9Dk,,,,,,,,
Latino Chamber Of Commerce of Dane County,2003,0, ,http://lccmadison.org/,,,,,,,,
Latino Chamber Of Commerce Of Pueblo Inc,1979,0,"Pueblo, CO 81003-3434 USA",http://pueblolatinochamber.com/,,,,,,,,
Latino Corporate Directors Association,2012,0,"Washington, DC 20005-4018 USA",http://latinocorporatedirectors.org/,,,,,,,,
Latino Economic Development Corporation,1991,0,"Washington, DC 20009 USA",http://www.ledcdc.org,,,,,,,Encyclopedia of Associations,
Latino Entrepreneurial Network Ofsoutheastern Wisconsin Incorporated,2007,1,"Milwaukee, WI 53215-3578 USA",https://www.guidestar.org/profile/20-5987240,,,,,,,,
Latino Farmers Cooperative Of Louisiana,2010,1,"0New Orleans, LA 70119-7126 USA",https://www.guidestar.org/profile/26-2056307,,,,,,,,
Latino Judges Association Inc,1988,0,"Brooklyn, NY 11201-2935 USA",http://www.dominicanbarassociation.org/resources/Documents/LJA%20SummerInternshipApp%202018.pdf,,,,,,,,
Latino Lawyers Association of Queens County,1997,0,"Forest Hills, NY 11375 USA",http://www.latinolawyers.org; http://www.facebook.com/LLAQC; http://www.twitter.com/infollaqc,http://www.facebook.com/LLAQC; http://www.twitter.com/infollaqc,http://www.twitter.com/infollaqc,,,,,Encyclopedia of Associations,
Latino Leadership Alliance Of Bucks County Inc,1993,0,"Bristol, PA 19007-4808 USA",http://www.llabc.org,,,,,,,,
Latino Mayors And Elected City Officials Coalition Of Fresno Coun,2016,1,"Fresno, CA 93704-1913 USA",https://www.guidestar.org/profile/47-2525094,,,,,,,,
Latino Physicians Of California,2011,0,"Sacramento, CA 95814-4421 USA",http://latinophysiciansofca.org/press/,,,,,,,,
Latino Professional Association Of California 07-17-93,2014,1,"Sacramento, CA 95827-1069 USA",https://www.guidestar.org/profile/68-0308131,,,,,,,,
Latino Professional Network Inc,1997,1,"Boston, MA 02196-0601 USA",https://www.guidestar.org/profile/04-3319016,,,,,,,,
Latino Professionals Association Inc,2013,0,"Sun Prairie,WI 53590-0356 USA",https://www.facebook.com/pg/lpamadison/about/,,,,,,,,
Latino Writers Collective,2009,1,"Kansas City, MO 64111-2820 USA",https://www.guidestar.org/profile/42-1747389,,,,,,,,
Long Island Hispanic Chamber Of Commerce Inc,1988,0,"Westbury, NY 11590-4742 USA",https://www.facebook.com/pg/lihcc/about/?ref=page_internal,,,,,,,,
Long Island Latino Teachers Association Inc,2006,0,"Central Islip, NY 11722-0636 USA",http://lilta.org/dt_team/ms-dafny-j-irizarry/,,,,,,,,
Los Abogados Hispanic Bar Association,1976,0,"Phoenix, AZ 85001 USA",http://www.losabogados.org,,,,,,,Encyclopedia of Associations,
Louisiana Hispanic Chamer Of Commerce Inc,1984,1,"New Orleans, LA 70152-2031 USA",https://www.hccl.biz/hccl-overview/,,,,,,,,
Lubbock Hispanic Chamber of Commerce Inc,1974,0,"Lubbock, TX 79401-3227 USA",https://legacy.lib.utexas.edu/taro/ttusw/00356/tsw-00356.html,,,,,,,,
Maryland Hispanic Bar Association,1993,0,"Wheaton, MD 20902 USA",http://marylandhispanicbar.com,http://www.facebook.com/pages/Maryland-Hispanic-Bar-Association/227479295534,,,,,,Encyclopedia of Associations,
Maryland Hispanic Chamber Of Commerce,1986,0,"Baltimore, MD 21204-2146 USA",https://www.maryland-hispanic-chamber-of-commerce.org/page/Past_Chairmen,,,,,,,,
Massachusetts Latino Police Officers Association Inc,2015,1,"Cambridge, MA 02238-2276 USA",https://www.guidestar.org/profile/46-0721724,,,,,,,,
Mexican American Hispanic Physicians Assoc Of South Texas,1983,1,"San Antonio, TX 78229-2934 USA",https://www.guidestar.org/profile/74-2250688,,,,,,,,
Michigan Hispanic Chamber Of Commerce,1989,0,"Beverly Hills, MI 48025-5470 USA",http://www.mhcc.org/about/,,,,,,,,
Minnesota Hispanic Bar Association,1991,0,"Minneapolis, MN 55415 USA",http://www.minnhba.org; ,http://www.facebook.com/pages/Minnesota-Hispanic-Bar-Association/330377217060001,,,,,,Encyclopedia of Associations,
Montebello South-East Los Angeles Hispanic Real Estate Professionals,2013,1,"San Diego, CA 92108-3109 USA",http://nahrepmsela.org/,,,,,,,,
Nashville Area Hispanic Chamber Of Commerce,2001,0,"Nashville, TN 37210-2033 USA",http://nahcc7.tripod.com/,,,,,,,,
National Association For Latino Community Asset Builders,2002,0,"San Antonio, TX 78238-2428 USA",https://www.owler.com/company/nsp2nationalconsortium,,,,,,,,
National Association of Hispanic Journalists,1984,0,,http://www.nahj.org/about/,,,,(Originally LA),,,Encyclopedia of Associations,
National Association of Hispanic Nurses,1975,0,"Brownsville, TX 78523-3365 USA",https://lanahn.com/index.php,,,,,,,Encyclopedia of Associations,
National Association of Hispanic Publications Inc,1982,0,"Washington, DC 20045-0000 USA",https://nahp.org/about-nahp/,,,,,,,,
National Association of Hispanic Real Estate Professionals,1999,0,"Houston, TX 77008 USA",https://nahrep.org/about/,,,Yes,"membership@nahrep.org, Sillicon Valley first one in spreadsheet",,,Encyclopedia of Associations,
National Association Of Hispanic Real Estate Professionals Reno,2011,0,"Reno, NV 89502-7510 USA",https://www.facebook.com/pg/NahrepReno/about/,,,,,,,,
National Association of Latino Independent Producers,1999,0,,https://www.nalip.org/about,,,,oldest chapter unclear-- no address to give,,,Encyclopedia of Associations,
National Association Of Puerto Rican-Hispanic Social Workers Inc,1985,0,"Brentwood, NY 11717-0651 USA",https://www.facebook.com/pg/naprhsw/about/?ref=page_internal,,,,,,,,
National Forum For Latino Healthcare Executives,2009,1,http://www.nflhe.org,https://www.guidestar.org/profile/26-2033192,,,,,,,,
National Hispanic Business Group Ltd,1985,0,"New York, NY 10020-1517 USA",http://www.nhbg.org/about-us/,,,,,,,,
National Hispanic Coalition Of Federal Aviation Employees,1978,0,"Cameron Park, CA 95682-7634 USA",http://nhcfae.org/newsite/wp-content/uploads/2014/03/2012-Summer_LaPalabra_Web.pdf,,,,,,,,
National Hispanic Construction Association,2010,1,"Washington, DC 20006-4061 USA",https://www.guidestar.org/profile/27-1206694,,,,,,,,
National Hispanic Corporate Council,1985,0,"Washington, DC 20036-5334 USA",https://www.nhcchq.org/about-nhcc/,,,,,,,,
National Hispanic Employee Association Inc,1994,1,"San Jose, CA 95138-1329 USA",https://www.guidestar.org/profile/95-4453942,,,,,,,,
National Hispanic Landscape Alliance Inc,2011,0,"South Miami, FL 33143-2349 USA",https://www.prnewswire.com/news-releases/ferris-announces-partnership-with-the-national-hispanic-landscape-alliance-nhla-300678154.html,,,,,,,,
National Hispanic Medical Association,1994,0,"Washington, DC 20005-3404 USA",http://www.nhmamd.org/about/about-nhma/,,,,,,,,
National Latina Business Women Association ,2003,0,"Los Angeles, CA 90064 USA",http://www.nlbwa-la.org,,,,,,,Encyclopedia of Associations,
National Latina-O Psychological Association,2002,0,"Mesa, AZ 85202-7548 USA",http://www.nlpa.ws,,,,,,,,
National Latino Law Enforcement Organization - Greater Dallas Chapter,NA,NA,"Dallas, TX 75222-4472 USA",http://www.dallasnlleo.com/contact; ,http://www.facebook.com/NLLEO.Dallas,,No-- No working site or email,,,,Encyclopedia of Associations,
National Latino Peace Officers Corp,1972,0,"10040 W. Cheyenne #170-179 Las Vegas, NV 89128",https://nlpoa.com/our-history/,,,,,,,Encyclopedia of Associations,
National Organization of Prof Hispanic Nat Resc Conv Serv Emps,1997,1,"Belen, NM 87002-8137 USA",https://www.guidestar.org/profile/74-2807289,,,,,,,,
Network Of Latino Meetingprofessionals,2007,1,"Falls Church, VA 22044-2409 USA",https://www.guidestar.org/profile/20-5195739,,,,,,,,
Nevada Association of Hispanic Real Estate Professionals,1999,0,"Las Vegas, NV 89146 USA",http://www.nvahrep.org,https://nahrep.org/downloads/2018-NAHREP-Partnership-Program.pdf,,Yes,"Seems potentially part of NAHREP, website was a dud (juan@martinezteam.com)",,,Encyclopedia of Associations,
Nevada Hispanic Business Group,2015,0,"Las Vegas, NV 89127-4357 USA",https://www.linkedin.com/company/nevada-hispanic-business-group,,,,,,,,
New Mexico Hispanic Bar Association,1978,0,"Albuquerque, NM 87125-6326 USA",https://www.facebook.com/pg/NewMexicoHispanicBar/about/?ref=page_internal,,,,,,,,
New Orleans Hispanic Chamber Of Commerce Inc,1998,1,"Slidell, LA 70458-6501 USA",https://www.guidestar.org/profile/46-5025877,,,,,,,,
New York Capital Region Hispanic Chamber Of Commerce Inc,2014,1,"Albany, NY 12201-1987 USA",https://www.guidestar.org/profile/90-0645937,,,,,,,,
New York State Association Of Latino Administrators And Superint,2017,1,"Buffalo, NY 14213-1442 USA",https://www.guidestar.org/profile/47-3436381,,,,,,,,
North Carolina Hispanic Chamber Of Commerce Inc,2004,1,"Raleigh, NC 27609-3930 USA",https://www.guidestar.org/profile/47-0873797,,,,,,,,
North Carolina Society Of Hispanic Professionals Incorporated,1999,0,"Cary, NC 27513-4577 USA",https://www.facebook.com/pg/TheNCSHP/about/?ref=page_internal,,,,,,,,
North Texas Hispanic Chamber Of Commerce,2006,1,"Wichita Falls, TX 76301-6801 USA",https://www.guidestar.org/profile/20-3462362,,,,,,,,
North Texas Hispanic Dental Association,2014,1,"4030 Justin Road #100 Flower Mound, TX, 75077",http://nthda.com; http://www.facebook.com/Noth.Texas.Hispanic.Denta.Association.14,https://www.guidestar.org/profile/26-2829315,,Yes,,,,Encyclopedia of Associations,
Northeast Ohio Hispanic Chamber Of Commerce,1992,1,"Cleveland, OH 44109-1110 USA",https://www.guidestar.org/profile/34-1555659,,,,,,,,
Nuestra Palabra Latino Writers Having Their Say,1998,0,"Houston, TX 77040-1737 USA",http://www.nuestrapalabra.org,,,,,,,,
Nyc Hispanic Chamber Of Commerceinc,2016,1,"Nyc, NY 10029-1399 USA",https://www.guidestar.org/profile/20-4481188,,,,,,,,
Odessa Hispanic Chamber Of Commerce,2011,1,"Odessa, TX 79761-5015 USA",https://www.guidestar.org/profile/75-2380906,,,,,,,,
Ohio Hispanic Chambers of Commerce,2008,1,"Columbus, OH 43235-5422 USA",https://www.guidestar.org/profile/42-1602797,,,,,,,,
Ontario Hispanic Chamber Of Commerce,2000,1,"Ontario, CA 91762-3502 USA",https://www.ontariothinksbusiness.com/ontario-hispanic-chamber-commerce,,,,,,,,
Orange County Hispanic Chamber of Commerce,1986,0,"Santa Ana, CA 92705 USA",http://www.ochcc.com;, http://www.facebook.com/theochcc; ,http://www.linkedin.com/in/ochcc,; http://twitter.com/OCHCC,,,,Encyclopedia of Associations,
Oregon Association of Latino Administrators,2002,0,"Cornelius, OR 97113-3010 USA",http://www.oala.info; ,http://www.facebook.com/Oregon-Association-of-Latino-Administrators-123664684351858,,,,,,Encyclopedia of Associations,
Oregon Hispanic Bar Association,2002,0,"Portland, OR 97208-3986 USA",https://www.osbar.org/diversity,,,,,,,,
Organization Of Hispanic Contractors Inc,1995,0,"Dallas, TX 75224-1636 USA",http://regionalhca.org/about-us/,,,,,,,,
Palm Beach County Hispanic Bar Association,NA,NA,"800 Village Square Crossing Palm Beach Gardens, FL 33410",http://www.pbchispanicbar.com,,,Yes,,,,Encyclopedia of Associations,
Philadelphia Hispanic Chamber Of Commerce Services Inc,1994,0,http://www.philahispanicchamber.org,http://www.philahispanicchamber.org,,,,,,,,
Pittsburgh Metropolitan Area Hispanic Chamber of Commerce,NA,NA,"One Oxford Centre, 301 Grant Street, Suite 4300 ● Pittsburgh PA 15219 U.S.A",http://pmahcc.org,,,Yes,chamber@pmahcc.org,,,Encyclopedia of Associations,
Professional Latina Alliance Network,2014,1,"Pennsauken,NJ 08110-0178 USA",https://www.guidestar.org/profile/26-3181947,,,,,,,,
Raton-Colfax County Hispanic Chamber of Commerce,1995,1,"Raton, NM 87740-1041 USA",http://www.nonprofitfacts.com/NM/Raton-Colfax-County-Hispanic-Chamber-Of-Commerce.html,,,,,,,,
Regional Hispanic Chamber Of Commerce,2004,0,"Long Beach, CA 90802-5089 USA",https://www.regionalhispaniccc.org/,,,,,,,,
Regional Hispanic Contractors Association,1995,0,"Dallas, TX 75224-1636 USA",http://regionalhca.org;,http://www.facebook.com/DFWRHCA;,http://www.linkedin.com/groups/8217254,,,,,Encyclopedia of Associations,
Rhode Island Hispanic Chamber Of Commerce,2016,1,"Providence, RI 02909-2800 USA",https://www.guidestar.org/profile/81-2701009,,,,,,,,
Rochester Hispanic Business Association Inc,1989,0,"Rochester, NY 14614-1353 USA",https://www.linkedin.com/company/rochester-hispanic-business-association,,,,,,,,
Sacramento Hispanic Chamber of Commerce,1972,0,"Sacramento, CA 95825 USA",http://www.sachcc.org,,,,,,,Encyclopedia of Associations,
San Antonio Assn Of Hispanic Journalists,1987,0,"San Antonio, TX 78212-9534 USA",http://www.sahispanicjournalists.com/saahj-scholarships-by-the-numbers/,,,,,,,,
San Antonio Association of Hispanic Journalists,1986,0,"San Antonio, TX 78212 USA",http://www.saahj.org,,,,,,,Encyclopedia of Associations,
San Antonio Hispanic Chamber of Commerce,1929,0,"San Antonio, TX 78205 USA",http://www.sahcc.org,,,,,,,Encyclopedia of Associations,
San Antonio Hispanic Police Officers Organization,1988,1,"San Antonio, TX 78283-0716 USA",https://www.guidestar.org/profile/74-2452258,,,,,,,,
San Diego County Hispanic Chamber of Commerce,1989,0,"San Diego, CA 92108 USA",http://www.sdchcc.com,,,,,,,Encyclopedia of Associations,
San Francisco Hispanic Chamber Of Commerce,1984,0,"San Francisco, CA 94103-2114 USA",https://www.businesswire.com/news/home/20080501006541/en/San-Francisco-Hispanic-Chamber-Commerce-President-Richard,,,,,,,,
San Joaquin County Hispanic Chamber Of Commerce,1972,0,"Stockton, CA 95210-3312 USA",http://www.sjchispanicchamber.com/pages/OurStaff1,,,,,,,,
San Marcos Hispanic Chamber of Commerce Incorporated,1993,1,"Kyle, TX 78640-1812 USA",https://www.guidestar.org/profile/74-2499988,,,,,,,,
Santa Barbara Hispanic Chamber of Commerce,1997,0,"Santa Barbara, CA 93160 USA",http://www.sbhispanicchamber.org,https://www.facebook.com/pg/santabarbarahispanicchamberofcommerce/about/,,Yes,info@sbhispanicchamber.org,,,Encyclopedia of Associations,
Santa Clarita Valley Latino Chamber Of Commere,2010,0,"Valencia, CA 91355-0962 USA",http://scvlatinochamberofcommerce.com/bod,,,,,,,,
Santa Fe Hispanic Chamber of Commerce Inc,2008,1,"Santa Fe, NM 87502-4640 USA",https://www.guidestar.org/profile/42-1746850,,,,,,,,
Seguin Guadalupe County Hispanic Chamber Of Commerce Inc,1990,0,"Seguin, TX 78155-3463 USA",http://www.seguinhispanicchamber.com,,,,,,,,
Society of Hispanic Professional Engineers ,1974,0,"13181 Crossroads Parkway North Suite 450 City of Industry, CA 91746",http://shpe.org/about,,,,LA Chapter is the oldest,,,Encyclopedia of Associations,
South Bay Latino Chamber of Commerce,2001,1,"Hawthorne, CA 90250-5807 USA",https://www.guidestar.org/profile/52-2268640,,,,,,,,
South Carolina Hispanic Chamber Of Commerce,2009,1,"Greenville, SC 29609-1453 USA",https://www.guidestar.org/profile/26-0874585,,,,,,,,
South Central Hispanic Agent Network,2014,1,"Watauga, TX 76148-1910 USA",https://www.guidestar.org/profile/47-1695880,,,,,,,,
South Flordia Hispanic Chamber Of Commerce,1995,1,"Miami Beach, FL 33140-3646 USA",https://www.guidestar.org/profile/65-0511241,,,,,,,,
Southeast Dallas Hispanic Chamber Of Commerce,2008,1,Southeast Dallas Hispanic Chamber Of Commerce,https://www.guidestar.org/profile/26-1321979,,,,,,,,
Southwest Association of Hispanic American Physicians,1980,1,"El Paso, TX 79902-5659 USA",https://www.guidestar.org/profile/74-2128183,,,,,,,,
Southwest Florida Hispanic Chamber of Commerce,1989,0,"Fort Myers, FL 33919-1031 USA",http://www.hispanicchamberflorida.org/about.php,,,,,,,,
Statewide Hispanic Chamber of Commerce of New Jersey Inc,1994,1,"Jersey City, NJ 07302-0000 USA",http://www.nonprofitfacts.com/NJ/Statewide-Hispanic-Chamber-Of-Commerce-Of-New-Jersey-Inc.html,,,,,,,,
Tampa Bay Hispanic Chamber of Commerce Inc,1977,1,"Tampa, FL 33612-7668 USA",https://www.guidestar.org/profile/59-1717804,,,,,,,,
Tampa Hispanic Bar Association,2006,0,"Tampa, FL 33606-2272 USA",https://thba.org/THBA-10-Year-History,,,,,,,,
Texas Association of Mexican-American Chambers of Commerce,1975,0,"Austin, TX 78704-0030 USA",http://tamacc.org;,http://www.facebook.com/tamacc;,http://www.twitter.com/TAMACC,,,,,Encyclopedia of Associations,
Texas Hispanic Peace Officers Association,2003,1,"Houston, TX 77262-5453 USA",https://www.guidestar.org/profile/16-1659259,,,,,,,,
The Greater Caldwell County Hispanic Chamber Of Commerce,2010,1,"Lockhart, TX 78644-0147 USA",https://www.guidestar.org/profile/74-2811628,,,,,,,,
The Hispanic Chamber of Commerce of Stanilaus County,1991,1,"Modesto, CA 95354-2428 USA",https://www.guidestar.org/profile/94-2904285,,,,,,,,
The Greater Tulsa Hispanic Chamber Of Commerce Inc,1999,0,"Tulsa, OK 74115-8116 USA",http://www.tulsahispanicchamber.com/,,,,,,,,
Tri-Cities Hispanic Chamber of Commerce,2005,0,"Pasco, WA 99302-3938 USA",http://www.tricitieshispanicchamber.com,,,,,,,,
Trinidad-Las Animas County Hispanic Chamber Of Commerce,1993,1,"Trinidad, CO 81082-0017 USA",https://www.guidestar.org/profile/84-1195662,,,,,,,,
Tulare-Kings Hispanic Chamber Of Commerce Incorporated,1993,0,"Visalia, CA 93291-5918 USA",https://mytkhcc.org/,,,,,,,,
U.S. Hispanic Contractors Association de Austin,1996,0,"Austin, TX 78723 USA",http://www.ushca-austin.com,https://www2.traviscountytx.gov/commissioners_court/agendas/2013/01/backup/Item_backup_20130108/vs20130108_item_18.pdf,,Yes,info@ushca-austin.com,,,Encyclopedia of Associations,
United Hispanic Construction Workers Inc,1987,1,"Bronx, NY 10459-4112 USA",https://www.guidestar.org/profile/13-3203493,,,,,,,,
United Latino Business Coalition,2003,1, ,https://www.guidestar.org/profile/11-3657426,,,,,,,,
United Latino Entrepreneurs Inc,2016,1,"Mattapan, MA 02126-1820 USA",https://www.guidestar.org/profile/45-2042233,,,,,,,,
Utah Association Of Latino Journalists,2014,1,"Salt Lake Cty, UT 84110-1932 USA",https://www.guidestar.org/profile/27-4741797,,,,,,,,
Virginia Hispanic Chamber Of Commerce,2002,1,"N Chesterfld, VA 23235-4886 USA",https://www.guidestar.org/profile/54-1989885,,,,,,,,
West Michigan Hispanic Chamber Of Commerce Inc,2003,0,"Grand Rapids, MI 49503-0000 USA",http://www.hccwm.org/about-us,,,,,,,,
Westchester Hispanic Chamber of Commerce Inc,1992,1,"White Plains, NY 10607-1313 USA",https://www.guidestar.org/profile/13-3510921,,,,,,,,
Wichita Hispanic Chamber Of Commerce,2002,0,"Wichita, KS 67202-2910 USA",https://www.wichitahispanicchamber.org/about,,,,,,,,
Wisconsin Hispanic Lawyers Association,1982,0,"Milwaukee, WI 53201-2160 USA",http://www.wisbar.org/Directories/LawRelatedOrgs/Pages/Wisconsin-Hispanic-Lawyers-Association.aspx,,,,,,,Encyclopedia of Associations,
Young Hispanic Professional Austinassociation Corp,1993,0,"Austin, TX 78703-0031 USA",http://searchlatino.com/orgs/,,,,,,,,
