,grantee_num,States,cofips_g,city,grantee_name,address,city_name,grantee_name65
1452,90619,CA,99,2200,STANISLAUS COUNTY COMMUNITY ACTION COMM,800 E. MORRIS AVE,MODESTO,STANISLAUS COUNTY COMMUNITY ACTION COMM
1453,90624,CA,107,4050,"SELF-HELP ENTERPRISES,INC.",220 SOUTH BRIDGE ST.,VISALIA,"SELF-HELP ENTERPRISES,INC."
1454,90629,CA,107,4050,TULARE COUNTY CAA,"111 WEST ACEQOIA, PO BOX 1069",VISALIA,TULARE COUNTY CAA
1455,90635,CA,111,4027,VENTURA CNT BOARD OF SUPERVISORS,"233 WEST PALM DR, PO BOX 5267",OXNARD,VENTURA CNT BOARD OF SUPERVISORS
1456,90638,CA,113,4258,"EO COMMISSION OF YOLO CNT, INC.","313 FOURTH ST, SUITE 5",WOODLAND,"EO COMMISSION OF YOLO CNT, INC."
1461,90917,CA,113,3150,RURAL CALIFORNIA HOUSING CORPORATION,8296 ALPINE AVENUE,SACRAMENTO,RURAL CALIFORNIA HOUSING CORPORATION
1468,90987,CA,13,3010,CONTRA COSTA CO LEGAL SERVICES FOUND,337 TENTH STREET,RICHMOND,CONTRA COSTA CO LEGAL SERVICES FOUND
1469,90991,CA,19,1370,GREATER CALIFORNIA EDUCATION PROJECT,760 WEST NIELSON AVENUE,FRESNO,GREATER CALIFORNIA EDUCATION PROJECT
1471,91032,CA,31,1540,KINGS COUNTY CA ORGANIZATION,"PO BOX 1225, 425 N IRWIN",HANFORD,KINGS COUNTY CA ORGANIZATION
1475,91081,CA,97,3490,SONOMA COUNTY PEOPLE FOR EO,1617 TERRACE WAY,SANTA ROSA,SONOMA COUNTY PEOPLE FOR EO
1476,91152,CA,37,1980,CASA LOMA COLLEGE,12502 VAN NUYS BLVD,PACOIMA,CASA LOMA COLLEGE
1478,91205,CA,37,1980,RURAL DEVELOPMENT CORPORATION,3460 WILSHIRE BLVD - RM 1015,LOS ANGELES,
1480,91210,CA,113,980,REGENTS OF THE UNIVERSITY OF CALIFORNIA,330 SOUTH HALL,DAVIS,REGENTS OF THE UNIVERSITY OF CALIFORNIA
1481,91252,CA,85,1420,TRABAJADORES ADELANTE INC,22 MARTIN STREET,GILROY,TRABAJADORES ADELANTE INC
1482,91253,CA,77,3770,UNIVERSITY OF THE PACIFIC,3601 PACIFIC AVENUE,STOCKTON,UNIVERSITY OF THE PACIFIC
1483,91260,CA,37,3455,"RIO HONDO AREA ACTION COUNCIL, INC.",9836 SOUTH JERSEY AVE,SANTA FE SPRINGS,"RIO HONDO AREA ACTION COUNCIL, INC."
1263,80003,CO,31,600,DENVER COMMUNITY DEVELOPMENT CORPORATION,4142 TEJON STREET,DENVER,DENVER COMMUNITY DEVELOPMENT CORPORATION
1265,80005,CO,31,600,NATIVE AMERICAN MERCHANDISING ENTERPRISE,4401 EAST YALE,DENVER,NATIVE AMERICAN MERCHANDISING ENTERPRISE
1266,80006,CO,31,600,COLORADO MIGRANT DEVELOPMENT CORPORATION,119 N BRIDGE ST,BRIGHTON,COLORADO MIGRANT DEVELOPMENT CORPORATION
1267,80007,CO,125,1070,GREELEY PARENT CHILD CENTER,925 B STREET,GREELEY,GREELEY PARENT CHILD CENTER
1269,80011,CO,31,600,LEGAL AID SOCIETY OF METROPOLITAN DENVER,1375 DELAWARE STREET,DENVER,LEGAL AID SOCIETY OF METROPOLITAN DENVER
1271,80016,CO,13,200,"BOULDER COUNTY EO COUNCIL, INC.",3450 NO BROADWAY,BOULDER,"BOULDER COUNTY EO COUNCIL, INC."
1272,80018,CO,13,600,COLORADO MIGRANT COUNCIL,665 GRANT ST,DENVER,COLORADO MIGRANT COUNCIL
1273,80019,CO,31,600,COLORADO HOUSING INC,1540 VINE ST,DENVER,COLORADO HOUSING INC
1275,80026,CO,13,200,THE REGENTS OF THE UNI OF COLORADO,REGENT HALL 206,BOULDER,THE REGENTS OF THE UNI OF COLORADO
1276,80028,CO,23,2230,CONEJOS-COSTILLA CAA,PO BOX 338,SAN LUIS,CONEJOS-COSTILLA CAA
1279,80033,CO,31,600,COLORADO SEOO,"RM 625, 1575 SHERMAN",DENVER,COLORADO SEOO
1280,80039,CO,31,600,"DENVER OPPORTUNITY, INC.",1525 JOSEPHINE ST,DENVER,"DENVER OPPORTUNITY, INC."
1282,80041,CO,67,650,UPLANDS INC,777 MAIN AVE,DURANGO,UPLANDS INC
1283,80059,CO,41,430,"PIKES PEAK CAP, INC.","9 EAST COSTILLA, RM 211-12",COLORADO SPRINGS,"PIKES PEAK CAP, INC."
1284,80060,CO,43,310,"FREMONT COUNTY COMMUNITY ACTION, INC.","612 RIVER ST, PO BOX 510",CANON CITY,"FREMONT COUNTY COMMUNITY ACTION, INC."
1285,80064,CO,67,1250,SOUTHERN UTE TRIBE,TRIBAL AFFAIRS BLDG,IGNACIO,SOUTHERN UTE TRIBE
1286,80065,CO,67,650,"SOUTHWEST COLO. CAP, INC.",777 MAIN,DURANGO,"SOUTHWEST COLO. CAP, INC."
1287,80070,CO,71,2440,"SOUTHERN COLORADO CA COMM, INC.","COURT HOUSE, RM 201",TRINIDAD,"SOUTHERN COLORADO CA COMM, INC."
1288,80072,CO,77,1040,MESA COUNTY COMMUNITY ACTION COUNCIL INC,322 MAIN STREET,GRAND JUNCTION,MESA COUNTY COMMUNITY ACTION COUNCIL INC
1289,80076,CO,83,2435,UTE MOUNTAIN TRIBE,UTE MOUNTAIN RESERVATION,TOWAOC,UTE MOUNTAIN TRIBE
1290,80087,CO,89,1410,TRI-COUNTY WAR ON POVERTY INC,OTERO CO. COURTHOUSE,LA JUNTA,TRI-COUNTY WAR ON POVERTY INC
1291,80091,CO,101,2050,"PUEBLOS COMMUNITY ACTION AGENCY, INC.","ANDREWS PROD. BLDG, 100 S MAIN",PUEBLO,"PUEBLOS COMMUNITY ACTION AGENCY, INC."
1292,80102,CO,123,1070,WELD COUNTY OPPORTUNITY AGENCY,1020 5TH AVE,GREELEY,WELD COUNTY OPPORTUNITY AGENCY
1293,80113,CO,31,600,METRO DENVER FAIR HOUSING CENTER INC,875 DELAWARE ST,DENVER,METRO DENVER FAIR HOUSING CENTER INC
1296,80679,CO,31,600,COLORADO RURAL LEGAL SERVICES INC,1375 DELAWARE ST,DENVER,COLORADO RURAL LEGAL SERVICES INC
77,10000,CT,1,80,"ACTION FOR BRIDGEPORT COMM DEV, INC.",815 MAIN ST,BRIDGEPORT,"ACTION FOR BRIDGEPORT COMM DEV, INC."
78,10001,CT,15,840,TOLLAND-WINDHAM LEGAL ASSISTANCE PROG,746 MAIN STREET,WILLIMANTIC,TOLLAND-WINDHAM LEGAL ASSISTANCE PROG
83,10008,CT,1,700,"COMMITTEE ON TRAINING & EMPLOYMENT, INC.",433 ATLANTIC ST,STAMFORD,"COMMITTEE ON TRAINING & EMPLOYMENT, INC."
84,10009,CT,1,170,COMMUNITY ACTION COMMITTEE OF DANBURY,433 ATLANTIC STREET,STAMFORD,COMMUNITY ACTION COMMITTEE OF DANBURY
88,10017,CT,3,280,AMBULATORY HEALTH CARE PLANNING INC,114 WOODLAND STREET,HARTFORD,AMBULATORY HEALTH CARE PLANNING INC
89,10019,CT,1,685,"NORWALK ECONOMIC OPPORTUNITY NOW, INC.",33 SOUTH MAIN STREET,SOUTH NORWALK,"NORWALK ECONOMIC OPPORTUNITY NOW, INC."
91,10030,CT,3,280,COMM RENEWAL TEAM OF GTR HARTFORD,179 ALLYN ST,HARTFORD,COMM RENEWAL TEAM OF GTR HARTFORD
101,10045,CT,3,420,NEW BRITAIN OEO,136 WEST MAIN ST,NEW BRITAIN,NEW BRITAIN OEO
102,10046,CT,3,280,DEPARTMENT OF COMMUNITY AFFAIRS,"1179 MAIN ST, PO BOX 786",HARTFORD,DEPARTMENT OF COMMUNITY AFFAIRS
105,10062,CT,7,380,"CA FOR GREATER MIDDLETOWN, INC.",93 BROAD ST,MIDDLETOWN,"CA FOR GREATER MIDDLETOWN, INC."
108,10074,CT,9,370,MERIDEN COMMUNITY ACTION AGENCY,142 EAST MAIN ST,MERIDEN,MERIDEN COMMUNITY ACTION AGENCY
110,10077,CT,9,430,"COMMUNITY PROGRESS, INC.",270 ORANGE ST,NEW HAVEN,"COMMUNITY PROGRESS, INC."
111,10105,CT,9,810,"NEW OPPORTUNITIES FOR WATERBURY, INC.",769 NORTH MAIN ST,WATERBURY,"NEW OPPORTUNITIES FOR WATERBURY, INC."
112,10134,CT,11,520,"THAMES VALLEY COUNCIL FOR CA, INC.",327 LAUREL HILL AVE,NORWICH,"THAMES VALLEY COUNCIL FOR CA, INC."
113,10147,CT,15,180,WINDHAM AREA COMM ACTION PROGRAM INC,100 MAIN STREET,DANIELSON,WINDHAM AREA COMM ACTION PROGRAM INC
181,11663,CT,1,700,NORWALK STAMFORD DANBURY REG LEGAL SERV,342 ATLANTIC STREET,STAMFORD,NORWALK STAMFORD DANBURY REG LEGAL SERV
188,12078,CT,9,430,HILL NEIGHBORHOOD CORP,296 COLUMBUS AVENUE,NEW HAVEN,HILL NEIGHBORHOOD CORP
309,30010,DE,3,210,DELAWARE OEO,506 WEST 10TH STREET,WILMINGTON,DELAWARE OEO
321,30034,DE,5,200,"SUSSEX COUNTY CAA, INC.",5 EAST PINE ST,GEORGETOWN,"SUSSEX COUNTY CAA, INC."
306,30002,DC,1,10,AMERICAN PUBLIC HEALTH ASSOC INC,1015 18 STREET NW,DC,AMERICAN PUBLIC HEALTH ASSOC INC
312,30020,DC,1,10,THE NATIONAL URBAN COALITION,2100 M STREET NW,DC,THE NATIONAL URBAN COALITION
317,30028,DC,1,10,DC BD OF EDUCATION,415 12TH STREET NW,DC,DC BD OF EDUCATION
320,30031,DC,1,10,HUMAN RESOURCES DEV INSTI AFL-CIO,815 16TH STREET N W,DC,HUMAN RESOURCES DEV INSTI AFL-CIO
322,30035,DC,1,10,THE CHILDRENS FOUNDATION,1026 17TH STREET NW,DC,THE CHILDRENS FOUNDATION
323,30036,DC,1,10,OPPORTUNITY FUNDING CORPORATION,1325 MASSACHUSETTS AVENUE N W,DC,OPPORTUNITY FUNDING CORPORATION
325,30040,DC,1,10,DC DHR STATE AGENCY ASST PROGRAM,1329 E ST NW,DC,DC DHR STATE AGENCY ASST PROGRAM
328,30053,DC,1,10,CENTER FOR CORRECTIONAL JUSTICE,1616 H STREET NW,DC,CENTER FOR CORRECTIONAL JUSTICE
329,30058,DC,1,10,HOWARD UNIVERSITY,2400 6TH STREET NW,DC,HOWARD UNIVERSITY
330,30063,DC,1,10,NATIONAL PARK FOUNDATION,,DC,NATIONAL PARK FOUNDATION
332,30066,DC,1,10,NATL CAPITAL AREA CHILD DAY CARE ASSN,1020 THIRD STREET NW,DC,NATL CAPITAL AREA CHILD DAY CARE ASSN
333,30068,DC,1,10,NATL ASSN OF STATE U AND LAND-GRANT COL,ONE DUPONT CIRCLE N W SUITE710,DC,NATL ASSN OF STATE U AND LAND-GRANT COL
334,30069,DC,1,10,NATL SP SPEAKING HOUSING DEV CORP,1826 JEFFERSON PLACE NW,DC,NATL SP SPEAKING HOUSING DEV CORP
335,30070,DC,1,10,COMMUNITY NUTRITION INSTITUTE,2029 K STREET NW,DC,COMMUNITY NUTRITION INSTITUTE
336,30071,DC,1,10,THE NATIONAL ACADEMY OF SCIENCES,2101 CONSTITUTION AVENUE N W,DC,THE NATIONAL ACADEMY OF SCIENCES
337,30073,DC,1,10,LEAGUE OF CITIES-CONFERENCE OF MAYORS,1612 K ST N W,DC,LEAGUE OF CITIES-CONFERENCE OF MAYORS
338,30074,DC,1,10,NAT SPAN SURNAMED MANAG ASSOC,1725 K STREET N W,DC,NAT SPAN SURNAMED MANAG ASSOC
339,30076,DC,1,10,UNITED PLANNING ORGANIZATION,1021 14TH ST,DC,UNITED PLANNING ORGANIZATION
343,30082,DC,1,10,NATL INST FOR CONSUMER JUSTICE,613 G STREET S W,DC,NATL INST FOR CONSUMER JUSTICE
344,30084,DC,1,10,LAWYERS COMMITTEE FOR CIVIL RIGHTS U L,733 15TH STREET NW,DC,LAWYERS COMMITTEE FOR CIVIL RIGHTS U L
349,30089,DC,1,10,BU OF SOC SCI RESEARCH INC,1990 M STREET NORTH WEST,DC,BU OF SOC SCI RESEARCH INC
350,30090,DC,1,10,HOUSING ASSISTANCE COUNCIL INC,1601 CONNECTICUT AVE NW,DC,HOUSING ASSISTANCE COUNCIL INC
448,31479,DC,1,10,THE BROOKINGS INSTITUTION,1775 MASSACHUSETTS AVENUE NW,DC,THE BROOKINGS INSTITUTION
450,31490,DC,1,10,EDUCATIONAL SYSTEMS CORPORATION,1750 K STREET NW SUITE 300,DC,EDUCATIONAL SYSTEMS CORPORATION
451,31494,DC,1,10,RURAL HOUSING ALLIANCE,1346 CONNECTICUT AVENUE N W,DC,RURAL HOUSING ALLIANCE
454,31585,DC,1,10,COMMUNITY-GROUP HEALTH FOUNDATION INC,3308 14TH STREET NW,DC,COMMUNITY-GROUP HEALTH FOUNDATION INC
455,31592,DC,1,10,NATIONAL CONGRESS OF AMERICAN INDIANS,1346 CONNECTICUT AVENUE N W,DC,NATIONAL CONGRESS OF AMERICAN INDIANS
456,31607,DC,1,10,THE URBAN INSTITUTE,1900 L STREET - SUITE 900,DC,THE URBAN INSTITUTE
458,31617,DC,1,10,THE AMERICAN PHARMACEUTICAL ASSOCIATION,2215 CONSTITUTION AVENUE N W,DC,THE AMERICAN PHARMACEUTICAL ASSOCIATION
459,31619,DC,1,10,NATIONAL CIVIL SERVICE LEAGUE,1825 K STREET NW,DC,NATIONAL CIVIL SERVICE LEAGUE
460,31639,DC,1,10,GROUP HEALTH ASSOCIATION OF AMERICA INC,1717 MASSACHUSETTS AVE NW,DC,GROUP HEALTH ASSOCIATION OF AMERICA INC
461,31642,DC,1,10,CHANGE INC,3308 14TH STREET NW,DC,CHANGE INC
467,31666,DC,1,10,CENTER FOR HUMAN SERVICES,7775 17TH ST N W,DC,CENTER FOR HUMAN SERVICES
468,31671,DC,1,10,THE LEADERSHIP INSTITUTE FOR COMM DEVEL,"2021 L ST, N.W.",DC,THE LEADERSHIP INSTITUTE FOR COMM DEVEL
469,31677,DC,1,10,NAT RGT TEACH ASSOC AMER ASSOC OF RE PER,1225 CONN AVE NW SUITE 419,DC,NAT RGT TEACH ASSOC AMER ASSOC OF RE PER
471,31682,DC,1,10,PEOPLES INVOLEMENT CORPORATION,2146 GEORGIA AVENUE N W,DC,PEOPLES INVOLEMENT CORPORATION
472,31686,DC,1,10,ASSOCIATION OF AMERICAN MEDICAL COLLEGES,1 DUPONT CITCLE,DC,ASSOCIATION OF AMERICAN MEDICAL COLLEGES
514,40138,FL,1,1130,ALACHUA COUNTY COMMUNITY ACTION AGENCY,"527 E UNIVER AVE, PO BOX 1503",GAINESVILLE,ALACHUA COUNTY COMMUNITY ACTION AGENCY
515,40141,FL,7,2890,"CUBB ECONOMIC AGENCY, INC.","136 N TEMPLE AV, PO DR 970",STARKE,"CUBB ECONOMIC AGENCY, INC."
517,40144,FL,9,620,BREVARD COUNTY COMMUNITY ACTION AGENCY,311 AVOCADO AVE,COCOA,BREVARD COUNTY COMMUNITY ACTION AGENCY
518,40147,FL,11,1050,"EO OF BROWARD COUNTY, INC.",212 N ANDREWS AVE,FORT LAUDERDALE,"EO OF BROWARD COUNTY, INC."
519,40149,FL,11,1420,SEMINOLE TRIBE OF FLORIDA,6343 FORREST STREET,HOLLYWOOD,SEMINOLE TRIBE OF FLORIDA
521,40158,FL,25,2010,MICCOSUKEE TRIBE OF INDIANS OF FLORIDA,P O BOX 44021 TAMIAMI STATION,MIAMI,MICCOSUKEE TRIBE OF INDIANS OF FLORIDA
522,40159,FL,71,1070,SOUTHWEST FLORIDA SELF-HELP HOUSING INC,2830 ST CHARLES STREET,FORT MYERS,SOUTHWEST FLORIDA SELF-HELP HOUSING INC
524,40165,FL,25,2010,DADE COUNTY BD OF COUNTY COMMISSIONERS,73 WEST FLAGLER ST,MIAMI,DADE COUNTY BD OF COUNTY COMMISSIONERS
526,40170,FL,25,670,UNIVERSITY OF MIAMI,,CORAL GABLES,UNIVERSITY OF MIAMI
527,40173,FL,31,1510,"GREATER JACKSONVILLE ECONOMIC OPP, INC.",PO BOX 208,JACKSONVILLE,"GREATER JACKSONVILLE ECONOMIC OPP, INC."
528,40176,FL,33,2490,"COMMUNITY ACTION PROGRAM COMMITTEE, INC.",133 WEST INTENDENCIA ST,PENSACOLA,"COMMUNITY ACTION PROGRAM COMMITTEE, INC."
529,40179,FL,39,2630,"GADSDEN COMMUNITY ACTION, INC","PO BOX 389, 16 S MADISON",QUINCY,"GADSDEN COMMUNITY ACTION, INC"
530,40182,FL,47,1830,"SUWANNEE RIVER ECONOMIC COUNCIL, INC.",PO BOX 219,LIVE OAK,"SUWANNEE RIVER ECONOMIC COUNCIL, INC."
531,40192,FL,57,2950,CAA OF HILLSBOROUGH CNT BD OF CNT COMM,1301 FLORIDA AVE,TAMPA,CAA OF HILLSBOROUGH CNT BD OF CNT COMM
532,40198,FL,61,3070,ECONOMIC OPPORTUNITY COUNCIL,4580 33RD ST,VERO BEACH,ECONOMIC OPPORTUNITY COUNCIL
534,40203,FL,69,960,"LAKE COUNTY ECONOMIC OPPORTUNITY, INC.","14 NO EUSTIS ST, PO BOX 687",EUSTIS,"LAKE COUNTY ECONOMIC OPPORTUNITY, INC."
535,40209,FL,73,2940,DIVISION OF ECONOMIC OPPORTUNITY,225 WEST JEFFERSON ST,TALLAHASSEE,DIVISION OF ECONOMIC OPPORTUNITY
536,40211,FL,73,2940,STATE OF FLORIDA DEPT OF EDUCATION,COMPTROLLERS OFFICE-KNOTT BLDG,TALLAHASSEE,STATE OF FLORIDA DEPT OF EDUCATION
537,40215,FL,73,2940,"LEON COUNTY-TALLAHASSEE CAP, INC.","PO DRAWER 1775, 225 E JENNINGS",TALLAHASSEE,"LEON COUNTY-TALLAHASSEE CAP, INC."
538,40220,FL,11,1050,COMMUNITY ACTION MIGRANT PROGRAM INC,3521 W BROWARD BLVD - SUITE 10,FT LAUDERDALE,COMMUNITY ACTION MIGRANT PROGRAM INC
541,40227,FL,91,1090,OKALOOSA COUNTY COMMUNITY ACTION PROGRAM,40 BEAL PARKWAY SW,FORT WALTON BEACH,OKALOOSA COUNTY COMMUNITY ACTION PROGRAM
542,40230,FL,95,2360,ORANGE COUNTY COMMUNITY ACTION AGENCY,"27 E CTRL BLVD, PO BOX 2243",ORLANDO,ORANGE COUNTY COMMUNITY ACTION AGENCY
543,40233,FL,99,2660,"PALM BEACH COUNTY CA COUNCIL, INC.",1340 WEST 8TH ST,RIVIERA BEACH,"PALM BEACH COUNTY CA COUNCIL, INC."
545,40240,FL,73,2940,GOVS TASK FORCE ON MIGRANT & RURAL POOR,309 OFFICE PLAZA,TALLAHASSEE,GOVS TASK FORCE ON MIGRANT & RURAL POOR
546,40245,FL,107,2420,PUTNAM COUNTY CA COMMITTEE INC.,510 OAK ST,PALATKA,PUTNAM COUNTY CA COMMITTEE INC.
548,40249,FL,111,1080,"COMMUNITY ACTION ORGANIZATION, INC.","94 ORANGE AVE, PO BOX 3070",FORT PIERCE,"COMMUNITY ACTION ORGANIZATION, INC."
549,40253,FL,115,2780,"SARASOTA UNITED NEED, INC.",PO BOX 1425,SARASOTA,"SARASOTA UNITED NEED, INC."
550,40254,FL,117,2770,"SEMINOLE COMMUNITY ACTION, INC.","1101 PINE AVE, PO DRAWER 1389",SANFORD,"SEMINOLE COMMUNITY ACTION, INC."
554,40260,FL,127,780,CAA OF VOLUSIA COUNTY,"512 SO KEECH ST, PO BOX 2116",DAYTONA BEACH,CAA OF VOLUSIA COUNTY
555,40264,FL,59,310,"TRI-COUNTY COMMUNITY COUNCIL, INC.",102 SOUTH MAIN ST,BONIFAY,"TRI-COUNTY COMMUNITY COUNCIL, INC."
599,40399,FL,1,1130,UNIVERSITY OF FLORIDA,UNIVERSITY CAMPUS,GAINESVILLE,UNIVERSITY OF FLORIDA
607,40411,FL,73,2940,FLORIDA DIVISION OF COMMUNITY COLLEGES,523 KNOTT BUILDING,TALLAHASSEE,FLORIDA DIVISION OF COMMUNITY COLLEGES
632,40468,FL,25,2010,FLORIDA MEMORIAL COLLEGE,15800 NW 42ND AVENUE,MIAMI,FLORIDA MEMORIAL COLLEGE
657,40523,FL,117,2770,SEMINOLE EMPLOYMENT AND ECON DEV CORP,P O BOX 2076,SANFORD,SEMINOLE EMPLOYMENT AND ECON DEV CORP
734,40847,FL,81,340,"MANATEE OPPORTUNITY COUNCIL, INC.",215 MANATEE AVE WEST,BRADENTON,"MANATEE OPPORTUNITY COUNCIL, INC."
735,40848,FL,103,2730,"PINELLAS OPPORTUNITY COUNCIL, INC.",709 MIRROR LAKE DRIVE NORTH,ST PETERSBURG,"PINELLAS OPPORTUNITY COUNCIL, INC."
738,40867,FL,25,2010,LEGAL SERVICES OF GREATER MIAMI INC,395 NW 1ST ST ADM CULMER OFCS,MIAMI,LEGAL SERVICES OF GREATER MIAMI INC
744,40901,FL,11,2570,OPPORTUNITY CTR OF BROWARD COUNTY,1180 HAMMONDVILLE ROAD,FT LAUDERDALE,OPPORTUNITY CTR OF BROWARD COUNTY
746,40950,FL,53,390,HERNANDO COUNTY ACTION INC,PO BOX 896,BROOKSVILLE,HERNANDO COUNTY ACTION INC
747,40962,FL,101,750,TRILBY MANOR CIVICS CLUB INC,P O BOX 1035,DAD CITY,TRILBY MANOR CIVICS CLUB INC
748,40967,FL,83,2270,MARION COMMUNITY ECO OPP INC,121 NW 16TH AVENUE,OCALA,MARION COMMUNITY ECO OPP INC
750,40973,FL,115,2780,UNITED SOUTHEASTERN TRIBES INC,1970 MAIN STREET,SARASOTA,UNITED SOUTHEASTERN TRIBES INC
559,40279,GA,21,3390,MACON-BIBB ECONOMIC OPPORTUNITY COUNCIL,RM 610 - GRAND BUILDING,MACON,MACON-BIBB ECONOMIC OPPORTUNITY COUNCIL
562,40286,GA,35,2890,UPPER OCMULGEE EO COMM. INC.,163 COVINGTON ST,JACKSON,UPPER OCMULGEE EO COMM. INC.
564,40291,GA,51,4910,"EO FOR SAVANNAH-CHATHAM CNTY AREA,INC.",21 WEST PARK AVENUE,SAVANNAH,"EO FOR SAVANNAH-CHATHAM CNTY AREA,INC."
566,40296,GA,59,270,ACTION INC.,760 NORTH CHASE ST,ATHENS,ACTION INC.
568,40307,GA,63,2970,"CLAYTON COUNTY EO AUTHORITY, INC.","157 SMITH ST, PO BOX 728",JONESBORO,"CLAYTON COUNTY EO AUTHORITY, INC."
576,40321,GA,71,3800,"SOUTHWEST GEORGIA CA COUNCIL, INC.","300-3RD ST NE, PO DRAWER 1219",MOULTRIE,"SOUTHWEST GEORGIA CA COUNCIL, INC."
578,40332,GA,89,1610,"DEKALB COUNTY EO AUTHORITY, INC.",3550 KENSINGTON ROAD,DECATUR,"DEKALB COUNTY EO AUTHORITY, INC."
581,40337,GA,91,1880,"HEART OF GEORGIA CA COUNCIL, INC.","213 PINE ST, PO BOX 398",EASTMAN,"HEART OF GEORGIA CA COUNCIL, INC."
583,40358,GA,121,280,"ECONOMIC OPPORTUNITY ATLANTA, INC.",101 MARIETTA ST NW,ATLANTA,"ECONOMIC OPPORTUNITY ATLANTA, INC."
587,40364,GA,121,280,GEORGIA STATE EO OFFICE,"120 MARIETTA ST NW, RM 702",ATLANTA,GEORGIA STATE EO OFFICE
589,40372,GA,127,760,"COASTAL GEORGIA AREA CA AUTHORITY, INC.","1969 A PARK PLAZA, PO BOX 181",BRUNSWICK,"COASTAL GEORGIA AREA CA AUTHORITY, INC."
590,40375,GA,139,2285,"GAINESVILLE-HALL COUNTY EO ORG, INC.","126 WASHINGTON ST, PO BOX 458",GAINESVILLE,"GAINESVILLE-HALL COUNTY EO ORG, INC."
595,40387,GA,185,5680,"COASTAL PLAIN AREA EO AUTHORITY, INC.","PO BOX 1645, 200 N LEE ST",VALDOSTA,"COASTAL PLAIN AREA EO AUTHORITY, INC."
596,40388,GA,125,2340,GLASCOCK CO DEPT F A C S,BOX 67,GIBSON,GLASCOCK CO DEPT F A C S
601,40401,GA,89,280,BUR OF STATE PLAN COMM AFFAIRS GA SEOO,101 MARIETTA STREET,ATLANTA,BUR OF STATE PLAN COMM AFFAIRS GA SEOO
602,40402,GA,193,3720,"WEST CENTRAL GEORGIA CA COUNCIL, INC.","PO BOX 350, RAILROAD ST",MONTEZUMA,"WEST CENTRAL GEORGIA CA COUNCIL, INC."
604,40406,GA,215,1280,"LOWER CHATTAHOOCHEE CAA, INC.","900 LINWOOD BLVD, PO BOX 78",COLUMBUS,"LOWER CHATTAHOOCHEE CAA, INC."
609,40416,GA,245,310,"CSRA EO AUTHORITY, INC.",2390 WALDEN DRIVE,AUGUSTA,"CSRA EO AUTHORITY, INC."
612,40421,GA,267,4580,"ALTAMAHA AREA CA AUTHORITY, INC.","PO BOX 466, 110 BRAZELL ST",REIDSVILLE,"ALTAMAHA AREA CA AUTHORITY, INC."
613,40423,GA,285,3050,"COMMUNITY ACTION FOR IMPROVEMENT, INC.",PO BOX 479,LAGRANGE,"COMMUNITY ACTION FOR IMPROVEMENT, INC."
615,40431,GA,295,3040,"NORTHWEST GEORGIA EO AUTHORITY, INC.",PO BOX 525,LAFAYETTE,"NORTHWEST GEORGIA EO AUTHORITY, INC."
616,40434,GA,299,5850,"SLASH PINE COMMUNITY ACTION AGENCY, INC.","201 STATE ST, PO BOX 1121",WAYCROSS,"SLASH PINE COMMUNITY ACTION AGENCY, INC."
624,40459,GA,121,280,GEORGIA LEGAL SVCS PROGRAM INC,185 CENTRAL AVE SW,ATLANTA,GEORGIA LEGAL SVCS PROGRAM INC
633,40471,GA,121,280,GEORGIA COUNCIL ON HUMAN RELATIONS,CENTRAL ADMINISTRATION BLDG,MAYFIELD,GEORGIA COUNCIL ON HUMAN RELATIONS
731,40833,GA,121,280,EMORY UNIVERSITY SCHOOL OF LAW,1397 OXFORD ROAD,ATLANTA,EMORY UNIVERSITY SCHOOL OF LAW
739,40873,GA,121,280,SOUTHERN RURAL ACTION INC,220 SUNSET AVE NW,ATLANTA,SOUTHERN RURAL ACTION INC
740,40876,GA,181,3180,TWILIGHT IMPROVEMENT ASSOCIATION INC,PO BOX 417 LINCOLN CO CRT HSE,LINCOLNTON,TWILIGHT IMPROVEMENT ASSOCIATION INC
741,40883,GA,139,2285,"NINTH DISTRICT OPPORTUNITY, INC.","123 NORTH MAIN ST, PO DR. L",GAINESVILLE,"NINTH DISTRICT OPPORTUNITY, INC."
742,40886,GA,15,980,"TALLATOONA EOA, INC.","PO BOX 686, 212 LEAKE ST",CARTERSVILLE,"TALLATOONA EOA, INC."
749,40971,GA,121,280,FEDERATION OF SOUTHERN COOPERATIVE,52 FAIRLIE STREET N W,ATLANTA ,FEDERATION OF SOUTHERN COOPERATIVE
1397,90097,HI,9,2900,HAWAII CAP DIRECTORS ASSOCIATION,567 SOUTH KING STREET,KAHULUI,
1399,90100,HI,1,300,MIL-KA-K0 RESEARCH AND DEVELOPMENT CORP,PO BOX 786,CAPTAIN COOK,
1462,90939,HI,1,1900,HAWAII COUNTY EO COUNCIL,46 KEAWE ST,HILO,
1463,90952,HI,9,2900,"MAUI ECONOMIC OPPORTUNITY, INC.",189 KAAHUMANU AVE,KAHULUI,
1464,90954,HI,3,2400,"HONOLULU COMMUNITY ACTION PROGRAM, INC.","838 S BERETANIA ST, SUITE 202",HONOLULU,
1465,90971,HI,7,6200,"KAUAI ECONOMIC OPPORTUNITY, INC.",2786 WEHE RD,"LIHUE, KAUAI",
1466,90975,HI,3,2400,HAWAII OFFICE OF ECONOMIC OPPORTUNITY,567 S KING ST,HONOLULU,
