Grantmaker.Name,Grantmaker.State,Recipient.Name,Recipient.City,Recipient.State.Country,Year.Authorized,Grant.Amount,Grantmaker.Type,Recipient.Type
Wallace H. Coulter Foundation,FL,"Asian Americans advancing Justice - LA (the Asian Pacific Americans Legal Center, Advancing Justice - LA)",Los Angeles,CA,2010,500000,Foundation,Hybrid
Weingart Foundation,CA,"Asian Americans advancing Justice - LA (the Asian Pacific Americans Legal Center, Advancing Justice - LA)",Los Angeles,CA,2013,500000,Foundation,Hybrid
Weingart Foundation,CA,"Asian Americans advancing Justice - LA (the Asian Pacific Americans Legal Center, Advancing Justice - LA)",Los Angeles,CA,2011,100000,Foundation,Hybrid
Weingart Foundation,CA,"Asian Americans advancing Justice - LA (the Asian Pacific Americans Legal Center, Advancing Justice - LA)",Los Angeles,CA,2009,75000,Foundation,Hybrid
Weingart Foundation,CA,"Asian Americans advancing Justice - LA (the Asian Pacific Americans Legal Center, Advancing Justice - LA)",Los Angeles,CA,2007,5000,Foundation,Hybrid
Weingart Foundation,CA,"Asian Americans advancing Justice - LA (the Asian Pacific Americans Legal Center, Advancing Justice - LA)",Los Angeles,CA,2007,10000,Foundation,Hybrid
Weingart Foundation,CA,"Asian Americans advancing Justice - LA (the Asian Pacific Americans Legal Center, Advancing Justice - LA)",Los Angeles,CA,2005,50000,Foundation,Hybrid
Wells Fargo Foundation,MN,"Asian Americans advancing Justice - LA (the Asian Pacific Americans Legal Center, Advancing Justice - LA)",Los Angeles,CA,2015,10000,Foundation,Hybrid
Wells Fargo Foundation,MN,"Asian Americans advancing Justice - LA (the Asian Pacific Americans Legal Center, Advancing Justice - LA)",Los Angeles,CA,2010,30000,Foundation,Hybrid
Wells Fargo Foundation,MN,"Asian Americans advancing Justice - LA (the Asian Pacific Americans Legal Center, Advancing Justice - LA)",Los Angeles,CA,2006,7500,Foundation,Hybrid
Wells Fargo Foundation,MN,"Asian Americans advancing Justice - LA (the Asian Pacific Americans Legal Center, Advancing Justice - LA)",Los Angeles,CA,2004,10000,Foundation,Hybrid
ZeroDivide,CA,"Asian Americans advancing Justice - LA (the Asian Pacific Americans Legal Center, Advancing Justice - LA)",Los Angeles,CA,2003,60000,Foundation,Hybrid
AmazonSmile Foundation,WA,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2014,39,Foundation,Advocacy
AmazonSmile Foundation,WA,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2014,43,Foundation,Advocacy
Anheuser-Busch Foundation,WI,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2011,5000,Foundation,Advocacy
Aon Foundation,IL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2011,5000,Foundation,Advocacy
Arcus Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2014,50000,Foundation,Advocacy
AT&T Foundation,TX,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2003,15000,Foundation,Advocacy
Bill & Melinda Gates Foundation,WA,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2008,200000,Foundation,Advocacy
Boston Foundation,MA,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2015,5000,Foundation,Advocacy
Boston Foundation,MA,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2014,250,Foundation,Advocacy
Boston Foundation,MA,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2014,250,Foundation,Advocacy
Carnegie Corporation of New York,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2007,50000,Foundation,Advocacy
Carnegie Corporation of New York,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2007,425000,Foundation,Advocacy
Carnegie Corporation of New York,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2005,20000,Foundation,Advocacy
Carnegie Corporation of New York,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2005,200000,Foundation,Advocacy
Carnegie Corporation of New York,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2003,300000,Foundation,Advocacy
Charles Stewart Mott Foundation,MI,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2006,100000,Foundation,Advocacy
Charles Stewart Mott Foundation,MI,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2004,150000,Foundation,Advocacy
Charles Stewart Mott Foundation,MI,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2003,120000,Foundation,Advocacy
Chevron Community Foundation,CA,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2003,85000,Foundation,Advocacy
Children Count Foundation,WA,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2012,64080,Foundation,Advocacy
Children Count Foundation,WA,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2006,35988,Foundation,Advocacy
Children Count Foundation,WA,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2005,51272,Foundation,Advocacy
Children Count Foundation,WA,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2004,21541,Foundation,Advocacy
Conrad N. Hilton Foundation,CA,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2017,120,Foundation,Advocacy
David and Katherine Moore Family Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2014,5000,Foundation,Advocacy
David and Katherine Moore Family Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2008,10000,Foundation,Advocacy
David and Katherine Moore Family Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2013,5000,Foundation,Advocacy
David and Katherine Moore Family Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2010,2500,Foundation,Advocacy
David and Katherine Moore Family Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2009,5000,Foundation,Advocacy
David and Katherine Moore Family Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2007,10000,Foundation,Advocacy
David and Katherine Moore Family Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2006,10000,Foundation,Advocacy
Evelyn and Walter HaasJr. Fund,CA,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2010,50000,Foundation,Advocacy
Evelyn and Walter HaasJr. Fund,CA,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2008,125000,Foundation,Advocacy
Evelyn and Walter HaasJr. Fund,CA,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2007,125000,Foundation,Advocacy
Evelyn and Walter HaasJr. Fund,CA,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2006,125000,Foundation,Advocacy
Evelyn and Walter HaasJr. Fund,CA,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2005,100000,Foundation,Advocacy
Evelyn and Walter HaasJr. Fund,CA,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2004,100000,Foundation,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2014,250000,Foundation,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2014,500000,Foundation,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2014,450000,Foundation,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2013,100000,Foundation,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2013,700000,Foundation,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2013,300000,Foundation,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2012,800000,Foundation,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2011,750000,Foundation,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2011,700000,Foundation,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2010,1050000,Foundation,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2010,564000,Foundation,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2009,1200000,Foundation,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2008,450000,Foundation,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2008,600000,Foundation,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2007,225000,Foundation,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2007,200000,Foundation,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2006,350000,Foundation,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2006,200000,Foundation,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2005,435825,Foundation,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2005,149246,Foundation,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2004,300000,Foundation,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2004,450000,Foundation,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2003,200000,Foundation,Advocacy
Foundation to Promote Open Society,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2014,225000,Foundation,Advocacy
Foundation to Promote Open Society,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2013,600000,Foundation,Advocacy
Foundation to Promote Open Society,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2011,600000,Foundation,Advocacy
Foundation to Promote Open Society,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2011,200000,Foundation,Advocacy
Foundation to Promote Open Society,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2010,300000,Foundation,Advocacy
Foundation to Promote Open Society,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2015,75000,Foundation,Advocacy
Foundation to Promote Open Society,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2015,225000,Foundation,Advocacy
Greater Houston Community Foundation,TX,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2007,5000,Foundation,Advocacy
Levi Strauss Foundation,CA,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2003,35000,Foundation,Advocacy
Lloyd A. Fry Foundation,IL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2008,3500,Foundation,Advocacy
Lloyd A. Fry Foundation,IL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2005,1000,Foundation,Advocacy
Mertz Gilmore Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2006,50000,Foundation,Advocacy
Mertz Gilmore Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2005,50000,Foundation,Advocacy
NEO Philanthropy,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2015,62500,Foundation,Advocacy
NEO Philanthropy,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2015,150000,Foundation,Advocacy
NEO Philanthropy,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2014,100000,Foundation,Advocacy
NEO Philanthropy,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2014,60000,Foundation,Advocacy
NEO Philanthropy,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2014,30000,Foundation,Advocacy
NEO Philanthropy,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2013,100000,Foundation,Advocacy
NEO Philanthropy,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2011,100000,Foundation,Advocacy
NEO Philanthropy,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2011,100000,Foundation,Advocacy
NEO Philanthropy,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2009,65000,Foundation,Advocacy
NEO Philanthropy,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2016,60000,Foundation,Advocacy
NEO Philanthropy,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2016,157661,Foundation,Advocacy
Open Society Institute,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2008,75000,Foundation,Advocacy
Open Society Institute,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2008,125000,Foundation,Advocacy
Open Society Institute,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2009,75000,Foundation,Advocacy
Open Society Institute,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2007,125000,Foundation,Advocacy
Open Society Institute,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2007,75000,Foundation,Advocacy
Open Society Institute,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2006,112500,Foundation,Advocacy
Open Society Institute,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2006,25000,Foundation,Advocacy
Open Society Institute,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2004,112500,Foundation,Advocacy
Open Society Institute,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2003,50000,Foundation,Advocacy
Open Society Institute,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2003,125000,Foundation,Advocacy
Rockefeller Brothers Fund,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2015,32000,Foundation,Advocacy
Rockefeller Brothers Fund,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2014,32000,Foundation,Advocacy
Rockefeller Brothers Fund,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2016,50000,Foundation,Advocacy
Seyfarth Shaw Charitable Foundation,IL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2015,2500,Foundation,Advocacy
Seyfarth Shaw Charitable Foundation,IL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2014,1000,Foundation,Advocacy
Seyfarth Shaw Charitable Foundation,IL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2012,1000,Foundation,Advocacy
Silicon Valley Community Foundation,CA,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2007,10000,Foundation,Advocacy
Skadden Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2015,31948,Foundation,Advocacy
The Annie E. Casey Foundation,MD,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2012,5000,Foundation,Advocacy
The Annie E. Casey Foundation,MD,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2005,125000,Foundation,Advocacy
The California Endowment,CA,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2004,40000,Foundation,Advocacy
The Greater Washington Community Foundation,DC,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2006,5000,Foundation,Advocacy
The John D. and Catherine T. MacArthur Foundation,IL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2006,50000,Foundation,Advocacy
The John D. and Catherine T. MacArthur Foundation,IL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2004,125000,Foundation,Advocacy
The John D. and Catherine T. MacArthur Foundation,IL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2003,100000,Foundation,Advocacy
The Joyce Foundation,IL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2003,22000,Foundation,Advocacy
The Prudential Foundation,NJ,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2004,75000,Foundation,Advocacy
The Rockefeller Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2006,140000,Foundation,Advocacy
The Rockefeller Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2005,140000,Foundation,Advocacy
The Rockefeller Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2004,140000,Foundation,Advocacy
The Rockefeller Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2003,137500,Foundation,Advocacy
The San Francisco Foundation,CA,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2015,25000,Foundation,Advocacy
The San Francisco Foundation,CA,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2013,1000,Foundation,Advocacy
Verizon Foundation,NJ,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2011,10000,Foundation,Advocacy
Verizon Foundation,NJ,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2005,9500,Foundation,Advocacy
Verizon Foundation,NJ,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2003,10000,Foundation,Advocacy
W. K. Kellogg Foundation,MI,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2014,1400000,Foundation,Advocacy
W. K. Kellogg Foundation,MI,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2013,100000,Foundation,Advocacy
W. K. Kellogg Foundation,MI,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2010,100000,Foundation,Advocacy
W. K. Kellogg Foundation,MI,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2008,50000,Foundation,Advocacy
Wallace Alexander Gerbode Foundation,CA,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2009,20000,Foundation,Advocacy
Wallace Alexander Gerbode Foundation,CA,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2008,15000,Foundation,Advocacy
Wallace Alexander Gerbode Foundation,CA,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2008,25000,Foundation,Advocacy
Wallace H. Coulter Foundation,FL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2014,500000,Foundation,Advocacy
Wallace H. Coulter Foundation,FL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2013,250000,Foundation,Advocacy
Wallace H. Coulter Foundation,FL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2013,1000000,Foundation,Advocacy
Wallace H. Coulter Foundation,FL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2012,1000000,Foundation,Advocacy
Wallace H. Coulter Foundation,FL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2012,1000000,Foundation,Advocacy
Wallace H. Coulter Foundation,FL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2012,250000,Foundation,Advocacy
Wallace H. Coulter Foundation,FL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2010,800000,Foundation,Advocacy
Wallace H. Coulter Foundation,FL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2010,1000000,Foundation,Advocacy
Wallace H. Coulter Foundation,FL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2010,1000000,Foundation,Advocacy
Altos Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2007,5500,Foundation,Hybrid
AmazonSmile Foundation,WA,Asian Americans for Community Involvement,San Jose,CA,2014,59,Foundation,Hybrid
AT&T Foundation,TX,Asian Americans for Community Involvement,San Jose,CA,2005,21190,Foundation,Hybrid
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2015,48500,Foundation,Hybrid
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2015,15000,Foundation,Hybrid
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2014,15000,Foundation,Hybrid
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2014,15000,Foundation,Hybrid
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2013,15000,Foundation,Hybrid
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2013,55235,Foundation,Hybrid
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2012,20000,Foundation,Hybrid
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2012,15000,Foundation,Hybrid
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2011,15000,Foundation,Hybrid
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2010,25000,Foundation,Hybrid
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2010,20000,Foundation,Hybrid
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2009,25000,Foundation,Hybrid
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2009,5000,Foundation,Hybrid
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2008,25000,Foundation,Hybrid
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2008,5000,Foundation,Hybrid
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2007,5000,Foundation,Hybrid
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2007,25000,Foundation,Hybrid
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2006,5000,Foundation,Hybrid
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2006,25000,Foundation,Hybrid
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2005,30000,Foundation,Hybrid
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2005,5000,Foundation,Hybrid
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2004,20000,Foundation,Hybrid
Castellano Family Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2016,2500,Foundation,Hybrid
Castellano Family Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2016,2000,Foundation,Hybrid
Ella Gayle Hamlin Foundation,NM,Asian Americans for Community Involvement,San Jose,CA,2015,3300,Foundation,Hybrid
Fidelity Charitable Gift Fund,OH,Asian Americans for Community Involvement,San Jose,CA,2015,1000,Foundation,Hybrid
Fidelity Charitable Gift Fund,OH,Asian Americans for Community Involvement,San Jose,CA,2015,100,Foundation,Hybrid
Freeman Foundation,NY,Asian Americans for Community Involvement,San Jose,CA,2003,100000,Foundation,Hybrid
Horizons Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2009,2500,Foundation,Hybrid
Horizons Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2006,5000,Foundation,Hybrid
Schwab Charitable Fund,CA,Asian Americans for Community Involvement,San Jose,CA,2014,7000,Foundation,Hybrid
Schwab Charitable Fund,CA,Asian Americans for Community Involvement,San Jose,CA,2014,7000,Foundation,Hybrid
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2015,37752,Foundation,Hybrid
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2015,2000,Foundation,Hybrid
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2015,750,Foundation,Hybrid
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2015,27510,Foundation,Hybrid
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2015,49500,Foundation,Hybrid
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2015,125000,Foundation,Hybrid
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2015,100,Foundation,Hybrid
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2015,10000,Foundation,Hybrid
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2014,25000,Foundation,Hybrid
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2014,750,Foundation,Hybrid
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2014,10000,Foundation,Hybrid
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2014,1700,Foundation,Hybrid
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2014,15000,Foundation,Hybrid
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2014,10000,Foundation,Hybrid
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2014,22500,Foundation,Hybrid
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2014,3000,Foundation,Hybrid
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2014,2000,Foundation,Hybrid
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2014,1000,Foundation,Hybrid
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2014,3280,Foundation,Hybrid
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2013,50000,Foundation,Hybrid
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2013,15000,Foundation,Hybrid
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2013,3000,Foundation,Hybrid
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2013,750,Foundation,Hybrid
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2013,1750,Foundation,Hybrid
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2013,10000,Foundation,Hybrid
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2012,50000,Foundation,Hybrid
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2012,5000,Foundation,Hybrid
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2012,1000,Foundation,Hybrid
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2012,150000,Foundation,Hybrid
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2012,15000,Foundation,Hybrid
