Name,F.year,Address,States,City,County,Type
Richmond Area Multi-Services,1974,"639 14th Avenue, San Francisco, CA 94118",CA,SAN FRANCISCO,SAN FRANCISCO,CBO
Asian American Success,2006,"6521 Arlington Blvd., Suite 401, Falls Church, VA 22402",VA,FALLS CHURCH,FAIRFAX,CBO
Counseling and Education Center for Asian-American Women,2004,"655 AMBOY AVE STE 412 WOODBRIDGE, NJ 07095",NJ,WOODBRIDGE,MIDDLESEX,CBO
Asian American Federation of Florida,1984,"659 NE 125th Street, North Miami, FL, 33161",FL,NORTH MIAMI,MIAMI-DADE,CBO
Asian Pacific American Community Center,2000,"66 Raymond Ave, San Francisco, CA 94134",CA,SAN FRANCISCO,SAN FRANCISCO,CBO
Chinatown Community Development Center,1977,"663 Clay St, San Francisco, CA 94111",CA,SAN FRANCISCO,SAN FRANCISCO,Hybrid
Asian American Consulting Service,1997,"677 SENECA AVE,RIDGEWOOD , NY 11385",NY,RIDGEWOOD,QUEENS,CBO
Asian American Job Training Center,2006,"680 Wilshire Pl, Los Angeles, CA 90005",CA,LOS ANGELES,LOS ANGELES,CBO
Asian Community United Society,2009,"6822 20th Avenue Brooklyn, New York 11204",NY,NEW YORK,NEW YORK,CBO
Penn Asian Senior Services,2004,"6926 Old York Road, Philadelphia, PA 19126",PA,PHILADELPHIA,PHILADELPHIA,CBO
South Asian Americans Leading Together,2000,"6930 Carroll Avenue, Suite 506 Takoma Park, MD 20912",MD,TAKOMA PARK,MONTGOMERY,Advocacy
"Career, mobility, and partnership",1972,"70 Mulberry Street, New York, NY 10013",NY,NEW YORK,NEW YORK,CBO
Asian American Health Coalition,1994,"7001 Corporate Dr, Houston, TX 77036",TX,HOUSTON,HARRIS,CBO
Asian Rehabilitation Services,1972,"7009 Washington Ave. Whittier, CA 90602",CA,WHITTIER,LOS ANGELES,CBO
DRUM - South Asian Organizing Center,2000,"72-18 Roosevelt Avenue Jackson Heights, NY 11372",NY,NEW YORK,QUEENS,Advocacy
Brooklyn Asian Civilian Observation Patrol,2014,"720 57th Street Cellar Brooklyn, NY 11220-3681",NY,NEW YORK,NEW YORK,CBO
The International District Community Health Center,1975,"720 8th Avenue South, 2nd Floor Seattle, WA 98104",WA,SEATTLE,KING,CBO
Asian Pacific Community Counseling,1976,7273 14th Avenue #120B Sacramento CA 95820,CA,SACRAMENTO,SACRAMENTO,CBO
Asian Alliance for Health,2013,"728 PACIFIC AVE STE 115,SAN FRANCISCO, CA 94133",CA,SAN FRANCISCO,SAN FRANCISCO,CBO
Asian Services in Action,1995,"730 Carroll Street, Akron, OH 44304",OH,AKRON,SUMMIT,CBO
Asian and Pacific Islander Wellness Center,1987,"730 Polk St, Fl 4,San Francisco, CA 94109 USA",CA,SAN FRANCISCO,SAN FRANCISCO,CBO
Center for Asian American Wellness,2010,"730 Polk St, San Francisco, CA 94109",CA,GARDEN GROVE,ORANGE,CBO
Self-Help for the Elderly,1966,"731 Sansome St #100, San Francisco, CA 94111",CA,SAN FRANCISCO,SAN FRANCISCO,CBO
The Asian Community Center of Sacramento Valley,1987,"7334 Park City Drive Sacramento, CA 95831",CA,SACRAMENTO,SACRAMENTO,CBO
East Bay Asian Voter Education Consortium,2000,"734 PALMERA COURT, ALAMEDA, CA  94501",CA,ALAMEDA,ALAMEDA,Advocacy
Greater Boston Chinese Golden Age Center,1972,"75 Kneeland St., Suite 204, Boston, MA 02111",MA,BOSTON,SUFFOLK,CBO
Metropolitan Asian Family Services,1992,"7541 N Western Ave, Chicago, IL 60645",IL,CHICAGO,COOK,CBO
Asian American Cancer Fellowship,2008,"7558 CRAWFORD AVE UNIT D, SKOKIE, IL 60076",IL,CHICAGO,COOK,CBO
Asian Community Alliance,2005,"7566 CENTRAL PARKE BLVD, MASON, OH 45040",OH,MASON,WARREN,CBO
Brooklyn Asian Voice Organization,2008,"762 59th str, Room 502, Brooklyn, NY",NY,NEW YORK,NEW YORK,Hybrid
Asian America Affairs Association,2004,"7683 SE 27TH ST 145, MERCER ISLAND, WA 98040",WA,MERCER ISLAND,KING,CBO
Wu Yee Childrens Services,1977,"827 Broadway St. San Francisco, CA 94133",CA,SAN FRANCISCO,SAN FRANCISCO,CBO
Asian Women For Health,2013,"83 Wallace St Somerville, MA 02144-1832 ",MA,SOMERVILLE,MIDDLESEX,CBO
Chinese American Voters Education Committee,1976,"838 Grant Ave #403 SF, CA, 94108 ",CA,SAN FRANCISCO,SAN FRANCISCO,Advocacy
Asian American Senior Citizens Service Center,1989,"850 North Birch Street, Santa Ana, CA 92701 ",CA,SANTA ANA,ORANGE,CBO
Pacific Asian Counseling Services,1981,"8616 La Tijera Blvd Ste 200 Los Angeles, CA 90045-3945",CA,LOS ANGELES,LOS ANGELES,CBO
Asian American Civic Association,1967,"87 Tyler St, Boston, MA 02111",MA,BOSTON,SUFFOLK,CBO
Southeast Asian Community Center,1975,875 O'Farrell Street San Francisco CA 94109,CA,SAN FRANCISCO,SAN FRANCISCO,CBO
Asian American Chemical Dependency,2003,"8811 SOUTH TACOMA WAY STE 106, LAKEWOOD, WA 98499",WA,LAKEWOOD,PIERCE,CBO
Boston Chinatown Neighborhood Center,1969,"885 Washington Street, Boston, MA 02111",MA,BOSTON,SUFFOLK,CBO
Kai Ming,1975,"900 Kearny St Suite 600, San Francisco, CA 94133 ",CA,SAN FRANCISCO,SAN FRANCISCO,CBO
Asian Pacific Policy and Planning Council,1976,"905 E 8th St, Los Angeles, CA 90021",CA,LOS ANGELES,LOS ANGELES,CBO
Asian Women's Resource Center Gum Moon Women's Residence,1868,"940 Washington Street San Francisco, CA 94108",CA,SAN FRANCISCO,SAN FRANCISCO,CBO
South Asian Public Health Association,1999,"9408 Holbrook Ln. Potomac, MD 20854",MD,POTOMAC,MONTGOMERY,CBO
Asian American Family Services,1994,"9440 Bellaire Blvd # 228, Houston, TX 77036",TX,HOUSTON,HARRIS,CBO
Southeast Asian Community Alliance,2002,"970 N. Broadway, Suite 209 Los Angeles, CA 90012",CA,LOS ANGELES,LOS ANGELES,Hybrid
Chinatown Community Children's Center,1972,"979 Clay Street, San Francisco, CA 94108",CA,SAN FRANCISCO,SAN FRANCISCO,CBO
Chinese Community Center ,1979,"9800 Town Park Dr., Houston, TX 77036",TX,HOUSTON,HOUSTON,CBO
Asian American Law Fund of New York,1993,"99 Hudson St, New York, NY 10013",NY,NEW YORK,NEW YORK,CBO
Asian American Legal Defense and Education Fund,1974,"99 Hudson St, New York, NY 10013",NY,NEW YORK,NEW YORK,Advocacy
Asian Law Alliance,1977,"991 W Hedding St, San Jose, CA 95126",CA,SAN JOSE,SANTA CLARA,Hybrid
Asian American Federation,1989,"9th Floor, 120 Wall St, New York, NY 10005",NY,NEW YORK,NEW YORK,Hybrid
Asian Christian Counseling and Educational Seminar Services,2004,"Alpharetta, GA 30023",GA,ALPHARETTA,FULTON,CBO
Asian Sisters Participating in Reaching Excellence,2001,"BOSTON, MA 02205",MA,BOSTON,SUFFOLK,CBO
Asian Americans Advancing Justice - Chicago (Asian American Institute),1992,"Bridgeview Bank Building, 4753 N Broadway St #02, Chicago, IL 60640",IL,CHICAGO,COOK,Hybrid
Media Action Network for Asian Americans,1992,"Burbank, CA, 91510",CA,BURBANK,LOS ANGELES,Advocacy
Sakhi for South Asian Women,1989,"Church Station New York, NY 10008-1333",NY,NEW YORK,NEW YORK,CBO
Ohio Asian American Health Coalition,2002,"Columbus, OH 43218-3108",OH,COLUMBUS,FRANKLIN,Hybrid
West Michigan Asian American Association,2011,Grand Rapids MI 49523-0432,MI,GRAND RAPIDS,KENT,CBO
Asian American and Pacific Islander Research Coalition,2012,"Honolulu, HI 96825",HI,HONOLULU,HONOLULU,Advocacy
Asian American Coalition for Education,2014,"Livingston, NJ 07039",NJ,LIVINGSTON,ESSEX,Advocacy
Gay Asian Pacific Support Network,1984,"Los Angeles, CA 90046 ",CA,LOS ANGELES,LOS ANGELES,CBO
Asian Women United of Minnesota,1996,"MINNEAPOLIS, MN 55406",MN,MINNEAPOLIS,HENNEPIN,CBO
Chinatown Youth Initiatives,1999,"New York, NY 10013-0980 USA",NY,NEW YORK,NEW YORK,CBO
North East Medical Services,1968,"North East Medical Services 1520 Stockton Street San Francisco, CA 94133",CA,SAN FRANCISCO,SAN FRANCISCO,CBO
Chinatown Improvement District,2008,"P.O. Box 37764 Honolulu, HI 96837",HI,HONOLULU,HONOLULU,CBO
South Asian Womens Empowerment and Resource Alliance,1997,"Portland, OR, 97291-0242",OR,PORTLAND,MULTNOMAH,CBO
Asian Pacific Youth Leadership Project,1990,"Sacramento, CA 95822-0423 USA",CA,SACRAMENTO,SACRAMENTO,Hybrid
Gay Asian Pacific Alliance,1988,San Francisco,CA,SAN FRANCISCO,SAN FRANCISCO,CBO
MAITRI,1991,"Santa Clara, CA 95052 ",CA,SANTA CLARA,SANTA CLARA,CBO
South Cove Community Health Center,1972,"South Street Clinic 145 South St. Boston, MA 02111-2826",MA,BOSTON,SUFFOLK,CBO
National Coalition for Asian Pacific American Community Development,1999,"Suite 2, 1825 San Pablo Ave, Oakland, CA 94612",CA,OAKLAND,ALAMEDA,Hybrid
The Asian/Pacific Islander Domestic Violence Resource Project,1996,"Washington, DC 20044 USA",DC,WASHINGTON DC,DISTRICT OF COLUMBIA,CBO
Southeast Asia Resource Action Center,1979,"Washington, DC Office, 1628 16th Street, NW Washington, DC 20009",DC,WASHINGTON DC,DISTRICT OF COLUMBIA,Hybrid
American Citizens for Justice,1983,"Westland, Michigan 48185",MI,WESTLAND,WAYNE,Advocacy
Asian Community Development Center,2015,"WOODSIDE, NY 11377",NY,WOODSIDE,QUEENS,CBO
80-20 Initiative,1998,,,,,Advocacy
ASHA for Women,1989,,MD,ROCKVILLE,MONTGOMERY,CBO
Asian American Cancer Support Network,2003,,CA,SUNNYVALE,SANTA CLARA,CBO
Asian American Education Association of Palm Beach County,2015,,FL,BOCA RATON,PALM BEACH,CBO
Asian American Environmental Awareness Organization,1999,,MD,CLARKSVILLE,HOWARD,Advocacy
Asian American National Committee,2000,,MA,DORCHESTER,SUFFOLK,Hybrid
Asian American Parents Association,1991,,CA,CUPERTINO,SANTA CLARA,Advocacy
Asian and Pacific Islander Family Pride,2004,,CA,FREMONT,ALAMEDA,CBO
Asian Family Support Services of Austin,1992,,TX,AUSTIN,AUSTIN,CBO
Asian Focus Corporation,2010,,NC,MORRISVILLE,WAKE,CBO
Asian Pacific Islander Domestic Violence Resource Project,1996,,DC,WASHINGTON DC,DISTRICT OF COLUMBIA,CBO
Asian Pacific Islander Pride,1993,,OR,PORTLAND,MULTNOMAH,CBO
Asian Pacific Rim Foundation,1998,,CA,SACRAMENTO,SACRAMENTO,CBO
Gay Asian and Pacific Islander Men of New York,1990,,NY,NEW YORK,NEW YORK,Hybrid
IRCO Asian Family Center,1994,,OR,PORTLAND,MULTNOMAH,CBO
National AAPI DACA Collaborative,2012,,CA,LOS ANGELES,LOS ANGELES,Advocacy
Riverside Asian American Community Association,2004,,CA,RIVERSIDE,RIVERSIDE,CBO
Southwest Center for Asian Pacific American Law,2000,,CA,SAN DIEGO,SAN DIEGO,CBO
