City_names,States,Santuary_cities,Anti_immigration_ordinances,Municipal_ID,Driver_license,Education_equity,Citizenship_support,Non-citizen_voting,County_ordinances,City_fund,County_fund,Total,County_names,OEO_fund,Total_pop,Black_pop,Asian_pop,Latino_pop,Asian_per,Latino_per,A2B,L2B,election_1980
FLORENCE,MA,0,0,0,0,0,0,0,0,NA,NA,NA,HAMPSHIRE,12.34328938,138813,1959,1133,1733,0.8162059749,1.248442149,0.5783563042,0.8846350179,43.34
FRAMINGHAM,MA,0,0,0,0,0,0,0,0,NA,NA,NA,MIDDLESEX,5.465107918,1367034,24512,16035,23537,1.172977409,1.721756738,0.6541693864,0.960223564,48.7
LOWELL,MA,0,0,0,0,0,0,0,0,48247200,0,48247200,MIDDLESEX,5.465107918,1367034,24512,16035,23537,1.172977409,1.721756738,0.6541693864,0.960223564,48.7
SOMERVILLE,MA,1,0,0,0,0,0,0,0,43304300,0,43304300,MIDDLESEX,5.465107918,1367034,24512,16035,23537,1.172977409,1.721756738,0.6541693864,0.960223564,48.7
CANTON,MA,0,0,0,0,0,0,0,0,0,122222040,122222040,NORFOLK,0.601716518,606587,5829,6001,4617,0.9893057385,0.7611439085,1.029507634,0.7920741122,53.73
QUINCY,MA,0,0,0,0,0,0,0,0,30492600,122222040,152714640,NORFOLK,0.601716518,606587,5829,6001,4617,0.9893057385,0.7611439085,1.029507634,0.7920741122,53.73
BOSTON,MA,1,0,0,0,0,1,0,0,402170998,0,402170998,SUFFOLK,50.99580002,650142,122913,15501,40061,2.384248364,6.161884634,0.1261135925,0.3259297226,39.25
CHELSEA,MA,0,0,0,0,0,1,0,0,NA,NA,NA,SUFFOLK,50.99580002,650142,122913,15501,40061,2.384248364,6.161884634,0.1261135925,0.3259297226,39.25
DORCHESTER,MA,0,0,0,0,0,1,0,0,NA,NA,NA,SUFFOLK,50.99580002,650142,122913,15501,40061,2.384248364,6.161884634,0.1261135925,0.3259297226,39.25
JAMAICA PLAIN,MA,0,0,0,0,0,1,0,0,NA,NA,NA,SUFFOLK,50.99580002,650142,122913,15501,40061,2.384248364,6.161884634,0.1261135925,0.3259297226,39.25
ROXBURY,MA,0,0,0,0,0,1,0,0,NA,NA,NA,SUFFOLK,50.99580002,650142,122913,15501,40061,2.384248364,6.161884634,0.1261135925,0.3259297226,39.25
WORCESTER,MA,1,0,0,0,0,0,0,0,79998320,0,79998320,WORCESTER,6.648177624,646352,8419,2840,14217,0.4393890635,2.199575464,0.3373322247,1.688680366,50.58
BALTIMORE,MD,1,0,0,1,1,1,0,0,484673716,0,484673716,BALTIMORE,1.844319105,655615,53598,8524,5394,1.300153291,0.822738955,0.1590357849,0.1006380835,52.21
BEL AIR,MD,0,0,0,1,1,0,0,0,NA,NA,NA,HARFORD,5.067304134,145930,12058,1307,1751,0.8956348934,1.199890358,0.1083927683,0.1452147952,57.13
CLARKSVILLE,MD,0,0,0,1,1,0,0,0,NA,NA,NA,HOWARD,13.68166161,118572,13741,2285,1484,1.927099147,1.251560233,0.166290663,0.1079979623,53.97
ELLICOTT CITY,MD,0,0,0,1,1,0,0,0,NA,NA,NA,HOWARD,13.68166161,118572,13741,2285,1484,1.927099147,1.251560233,0.166290663,0.1079979623,53.97
GERMANTOWN,MD,0,0,0,1,1,0,0,0,0,51007955,51007955,MONTGOMERY,4.124860764,579053,49837,22790,22790,3.935736452,3.935736452,0.4572907679,0.4572907679,54.26
MONTGOMERY VILLAGE,MD,1,0,0,1,1,0,0,0,0,51007955,51007955,MONTGOMERY,4.124860764,579053,49837,22790,22790,3.935736452,3.935736452,0.4572907679,0.4572907679,54.26
POTOMAC,MD,0,0,0,1,1,0,0,0,0,51007955,0,MONTGOMERY,4.124860764,579053,49837,22790,22790,3.935736452,3.935736452,0.4572907679,0.4572907679,54.26
SILVER SPRING,MD,0,0,0,1,1,0,0,0,0,51007955,0,MONTGOMERY,4.124860764,579053,49837,22790,22790,3.935736452,3.935736452,0.4572907679,0.4572907679,54.26
TAKOMA PARK,MD,1,0,0,1,1,0,1,0,0,51007955,0,MONTGOMERY,4.124860764,579053,49837,22790,22790,3.935736452,3.935736452,0.4572907679,0.4572907679,54.26
HAGERSTOWN,MD,0,0,0,1,1,0,0,0,6716800,500,6717300,WASHINGTON,7.925755501,113086,4718,426,665,0.376704455,0.5880480342,0.09029249682,0.1409495549,61.86
UNIVERSITY CENTER,MI,0,0,0,0,1,0,0,0,NA,NA,NA,BAY,7.398303986,119881,1011,289,3162,0.2410723968,2.637615636,0.2858555885,3.127596439,50.82
FLINT,MI,0,0,0,0,1,0,0,0,113909431,35597976,149507407,GENESEE,4.00540781,450449,78200,1936,7649,0.4297933839,1.698083468,0.02475703325,0.09781329923,46.5
LANSING,MI,1,0,0,0,1,0,0,0,57651418,0,57651418,INGHAM,18.36313438,275520,21004,2766,10559,1.003919861,3.832389663,0.1316892021,0.5027137688,54.05
KALAMAZOO,MI,0,0,0,0,1,0,0,0,23151133,0,23151133,KALAMAZOO,6.9290452,212378,15712,1417,2605,0.6672065845,1.226586558,0.09018584521,0.1657968432,58.5
GRAND RAPIDS,MI,0,0,0,0,1,0,0,0,62360397,0,62360397,KENT,7.873134136,444506,31068,2382,8741,0.5358757812,1.966452646,0.07667052916,0.2813505858,60.74
MUSKEGON,MI,0,0,0,0,1,0,0,0,25266071,0,25266071,MUSKEGON,7.86705637,157589,19039,395,2833,0.2506520125,1.797714307,0.02074688797,0.1487998319,57.81
FRANKLIN,MI,0,0,0,0,1,0,0,0,0,52357179,52357179,OAKLAND,7.532813072,1011793,47629,11720,14478,1.1583397,1.4309251,0.2460685717,0.3039744693,60.57
HOLLAND,MI,0,0,0,0,1,0,0,0,1388000,0,1388000,OTTAWA,0.929338872,157174,627,689,5006,0.438367669,3.185005154,1.098883573,7.984051037,73.53
PORT HURON,MI,0,0,0,0,1,0,0,0,10141926,0,10141926,ST. CLAIR,3.605597973,138802,2761,302,2066,0.2175761156,1.488451175,0.1093806592,0.7482796088,60.32
CANTON,MI,0,0,0,0,1,0,0,0,0,54917700,54917700,WAYNE,18.53585815,2337891,824892,15177,46318,0.6491748332,1.981187318,0.0183987722,0.0561503809,37.67
DETROIT,MI,1,0,0,0,1,0,0,0,766401861,54917701,821319562,WAYNE,18.53585815,2337891,824892,15177,46318,0.6491748332,1.981187318,0.0183987722,0.0561503809,37.67
WESTLAND,MI,0,0,0,0,1,0,0,0,13458000,54917702,68375702,WAYNE,18.53585815,2337891,824892,15177,46318,0.6491748332,1.981187318,0.0183987722,0.0561503809,37.67
RED WING,MN,0,0,0,0,1,0,0,0,NA,NA,NA,GOODHUE,9.114064217,38749,44,151,127,0.3896874758,0.3277503936,3.431818182,2.886363636,52.13
MINNEAPOLIS,MN,1,0,0,0,1,0,0,0,266998503,41058830,308057333,HENNEPIN,7.384946823,941411,32522,9839,8027,1.045133316,0.8526562787,0.3025336695,0.2468175389,44.86
ST PAUL,MN,1,0,0,0,1,0,0,0,205691235,2200000,207891235,RAMSEY,12.2808876,459784,14494,5402,9310,1.174899518,2.024863849,0.3727059473,0.6423347592,38.73
COLUMBIA,MO,0,0,0,0,0,0,0,0,NA,NA,NA,BOONE,107.7335358,100376,6377,1090,973,1.085916952,0.9693552244,0.1709267681,0.1525795829,46.82
KANSAS CITY,MO,0,0,1,0,0,1,0,0,193610299,0,193610299,JACKSON,15.01560211,629266,125077,4476,16492,0.7113049172,2.620831254,0.03578595585,0.1318547775,43.87
ST. LOUIS,MO,0,0,0,0,0,0,0,0,425977519,90724800,516702319,ST. LOUIS,1.401293993,453085,204970,1696,5531,0.3743226988,1.220742245,0.008274381617,0.02698443675,57.75
MONTANA,MT,0,0,0,0,0,0,0,0,0,6095,6095,MISSOULA,17.58497238,76016,302,138,644,0.1815407283,0.8471900652,0.4569536424,2.132450331,55.2
CONCORD,NC,0,0,0,0,0,0,0,0,1979000,0,1979000,CABARRUS,3.467273951,85895,12116,148,485,0.1723033937,0.5646428779,0.01221525256,0.04002971278,60.79
PITTSBORO,NC,0,0,0,0,0,0,0,0,0,402200,402200,CHATHAM,0,33415,8908,35,266,0.1047433787,0.7960496783,0.003929052537,0.02986079928,43.11
SILER CITY,NC,0,0,0,0,0,0,0,0,156600,402200,558800,CHATHAM,0,33415,8908,35,266,0.1047433787,0.7960496783,0.003929052537,0.02986079928,43.11
DURHAM,NC,1,0,0,0,0,0,0,0,29615250,0,29615250,DURHAM,59.87952042,152785,55017,979,1279,0.6407697091,0.8371240632,0.01779449988,0.02324735991,43.57
WINSTON-SALEM,NC,0,0,0,0,0,0,0,0,44228850,0,44228850,FORSYTH,17.94808769,243683,58938,660,1575,0.2708436781,0.6463315045,0.01119820829,0.02672299705,52.17
GREENSBORO,NC,0,0,1,0,0,0,0,0,28467480,0,28467480,GUILFORD,14.85011768,317154,78674,1107,2404,0.3490417904,0.7579913859,0.01407072222,0.03055647355,54.49
HIGH POINT,NC,0,0,0,0,0,0,0,0,25511070,0,25511070,GUILFORD,14.85011768,317154,78674,1107,2404,0.3490417904,0.7579913859,0.01407072222,0.03055647355,54.49
HENDERSONVILLE,NC,0,0,0,0,0,0,0,0,NA,NA,NA,HENDERSON,17.77026939,58580,2107,72,344,0.1229088426,0.5872311369,0.03417180826,0.1632653061,64.17
SANFORD,NC,0,0,0,0,0,0,0,0,NA,NA,NA,LEE,0,36718,8018,61,300,0.1661310529,0.817037965,0.007607882265,0.03741581442,47.18
LINCOLNTON,NC,0,0,0,0,0,0,0,0,NA,NA,NA,LINCOLN,3.04803133,42372,3793,63,306,0.1486830926,0.7221750212,0.0166095439,0.0806749275,53.61
CHARLOTTE,NC,0,0,0,0,0,0,0,0,84381396,0,84381396,MECKLENBURG,17.83949661,404270,105892,2804,3962,0.6935958642,0.9800380934,0.02647980962,0.03741547992,50.51
LENOIR,NC,0,0,0,0,0,0,0,0,540000,0,540000,MECKLENBURG,17.83949661,404270,105892,2804,3962,0.6935958642,0.9800380934,0.02647980962,0.03741547992,50.51
CARRBORO,NC,1,0,0,0,0,0,0,0,NA,NA,NA,ORANGE,38.77223587,77055,13194,735,683,0.953864123,0.8863798585,0.05570713961,0.05176595422,37.82
ASHEBORO,NC,0,0,0,0,0,0,0,0,341100,0,341100,RANDOLPH,2.103821516,91728,5700,139,488,0.151534973,0.5320076749,0.02438596491,0.08561403509,66.3
REIDSVILLE,NC,0,0,0,0,0,0,0,0,NA,NA,NA,ROCKINGHAM,2.443063498,83426,17014,49,639,0.05873468703,0.7659482655,0.002879981192,0.03755730575,48.9
MORRISVILLE,NC,0,0,0,0,0,0,0,0,NA,NA,NA,WAKE,26.06993866,301327,65053,2315,2385,0.7682683596,0.7914989364,0.03558636804,0.03666241372,50.39
OMAHA,NE,1,0,0,0,1,0,0,0,70848522,0,70848522,DOUGLAS,10.74214935,397038,39526,2211,8236,0.5568736494,2.074360641,0.05593786368,0.2083691747,65.22
LINCOLN,NE,0,0,0,0,1,0,0,0,29616040,142200,29758240,LANCASTER,9.784295082,192884,3472,1723,2879,0.8932830095,1.492606955,0.4962557604,0.8292050691,58.81
PLEASANTVILLE,NJ,0,0,0,0,1,0,0,0,85000,0,85000,ATLANTIC,32.10228348,194119,33637,958,7590,0.4935117119,3.909972749,0.02848054226,0.2256443797,54.83
TEANECK,NJ,0,0,0,0,1,0,0,0,NA,NA,NA,BERGEN,3.144327164,845385,32282,19723,28514,2.333019867,3.372901104,0.6109596679,0.8832786073,62.46
CAMDEN,NJ,1,0,0,0,1,0,0,0,70437959,23295200,93733159,CAMDEN,4.204234123,471650,66497,5036,20626,1.06774091,4.373158062,0.07573273982,0.3101794066,52.35
PENNSAUKEN TOWNSHIP,NJ,0,0,0,0,1,0,0,0,0,23295200,23295200,CAMDEN,4.204234123,471650,66497,5036,20626,1.06774091,4.373158062,0.07573273982,0.3101794066,52.35
NEWARK,NJ,1,0,1,0,1,0,0,0,240774463,53806750,294581213,ESSEX,24.14906693,851116,312188,11019,76584,1.294653138,8.998068418,0.03529603957,0.2453137212,44.66
CEDAR GROVE,NJ,0,0,0,0,1,0,0,0,0,53806750,53806750,ESSEX,24.14906693,851116,312188,11019,76584,1.294653138,8.998068418,0.03529603957,0.2453137212,44.66
LIVINGSTON,NJ,0,0,0,0,1,0,0,0,0,53806750,53806750,ESSEX,24.14906693,851116,312188,11019,76584,1.294653138,8.998068418,0.03529603957,0.2453137212,44.66
UNION CITY,NJ,1,0,0,0,1,0,0,0,18550160,57993000,76543160,HUDSON,13.62757778,556972,66368,15213,145163,2.731376084,26.06289006,0.2292219142,2.187243852,48.82
HAMILTON,NJ,0,0,1,0,1,0,0,0.07692307692,8319000,164700,8483700,MERCER,65.06568146,307863,54876,3795,10580,1.232691165,3.43659355,0.06915591515,0.1927983089,46.75
TRENTON,NJ,1,1,1,0,1,0,0,0.07692307692,58758979,164700,58923679,MERCER,65.06568146,307863,54876,3795,10580,1.232691165,3.43659355,0.06915591515,0.1927983089,46.75
NEW BRUNSWICK,NJ,0,0,0,0,1,0,0,0,37561000,25937250,63498250,MIDDLESEX,9.558260918,595893,34941,12275,34138,2.059933579,5.728880856,0.3513064881,0.9770184024,55.7
WOODBRIDGE,NJ,0,0,0,0,1,0,0,0,8647000,25937250,34584250,MIDDLESEX,9.558260918,595893,34941,12275,34138,2.059933579,5.728880856,0.3513064881,0.9770184024,55.7
ASBURY PARK,NJ,0,0,0,0,1,0,0,0,9824100,43335290,53159390,MONMOUTH,10.60935879,503173,42285,5334,12915,1.060072778,2.566711648,0.1261440227,0.3054274565,62.75
DOVER,NJ,0,0,0,0,1,0,0,0,266000,30512900,30778900,MORRIS,2.190998554,407630,9811,6782,10952,1.663763707,2.686750239,0.6912649067,1.116298033,68.25
JACKSON,NJ,0,0,0,0,1,0,0,0,NA,NA,NA,OCEAN,11.77641201,346038,9166,1708,8444,0.4935874095,2.44019443,0.1863408248,0.921230635,67.72
CLIFTON,NJ,0,0,0,0,1,0,0,0,19312550,19682665,38995215,PASSAIC,9.799028397,447585,57202,4655,62123,1.040025917,13.87959829,0.08137827349,1.086028461,57.31
PATERSON,NJ,0,0,0,0,1,0,0,0,65429529,19682665,85112194,PASSAIC,9.799028397,447585,57202,4655,62123,1.040025917,13.87959829,0.08137827349,1.086028461,57.31
WEST MILFORD,NJ,0,0,0,0,1,0,0,0,0,19682665,19682665,PASSAIC,9.799028397,447585,57202,4655,62123,1.040025917,13.87959829,0.08137827349,1.086028461,57.31
CLARK,NJ,0,0,0,0,1,0,0,0,0,57872600,57872600,UNION,5.167490482,504094,79979,6238,40756,1.237467615,8.08500002,0.07799547381,0.5095837657,56.61
ALBUQUERQUE,NM,1,0,0,1,1,0,0,0,86798350,268000,87066350,BERNALILLO,50.05733109,419700,9328,3559,154620,0.8479866571,36.84060043,0.3815394511,16.57590051,60.49
COCHITI LAKE,NM,0,0,0,1,1,0,0,0,NA,NA,NA,SANDOVAL,192.0106201,34799,290,65,9580,0.1867869766,27.52952671,0.224137931,33.03448276,58.79
CORRALES,NM,0,0,0,1,1,0,0,0,NA,NA,NA,SANDOVAL,192.0106201,34799,290,65,9580,0.1867869766,27.52952671,0.224137931,33.03448276,58.79
RIO RANCHO,NM,0,0,0,1,1,0,0,0,NA,NA,NA,SANDOVAL,192.0106201,34799,290,65,9580,0.1867869766,27.52952671,0.224137931,33.03448276,58.79
LAS VEGAS,NV,0,0,0,1,0,0,0,0,24775204,0,24775204,CLARK,14.52379513,463087,45802,9207,35086,1.988179327,7.576546092,0.2010174228,0.7660364176,66.54
RENO,NV,1,0,0,1,0,0,0,0,12492530,0,12492530,WASHOE,21.67951012,193623,3497,3803,9352,1.964126163,4.8300047,1.087503574,2.674292251,72.55
BRONX,NY,1,0,0,0,0,0,0,0,NA,NA,NA,BRONX,NA,1168972,348744,15163,396353,1.2971226,33.9061158,0.04347888422,1.13651561,32.41
DEWITTVILLE,NY,0,0,0,0,0,0,0,0,NA,NA,NA,CHAUTAUQUA,6.214142799,146925,1869,374,2266,0.254551642,1.542283478,0.2001070091,1.212413055,56.81
BUFFALO,NY,0,0,0,0,0,0,0,0,294595028,0,294595028,ERIE,5.594441891,1015472,101969,5424,14390,0.5341358501,1.417075015,0.05319263698,0.1411213212,44.01
BROOKLYN,NY,0,0,0,0,0,0,0,0,NA,NA,NA,KINGS,NA,2230936,689626,42965,392118,1.925873266,17.57638946,0.06230188537,0.5685951516,40.95
HAMPSTEAD,NY,0,0,0,0,0,0,0,0,0,118848956,118848959,NASSAU,4.823325157,1321582,88414,14472,43286,1.095051234,3.275317006,0.1636844844,0.4895830977,61.64
LONG BEACH,NY,0,0,0,0,0,0,0,0,2529150,118848957,121378107,NASSAU,4.823325157,1321582,88414,14472,43286,1.095051234,3.275317006,0.1636844844,0.4895830977,61.64
ROCKVILLE CENTRE,NY,0,0,0,0,0,0,0,0,0,118848958,118848959,NASSAU,4.823325157,1321582,88414,14472,43286,1.095051234,3.275317006,0.1636844844,0.4895830977,61.64
ROSLYN HEIGHTS,NY,0,0,0,0,0,0,0,0,0,118848959,118848959,NASSAU,4.823325157,1321582,88414,14472,43286,1.095051234,3.275317006,0.1636844844,0.4895830977,61.64
NEW YORK,NY,1,1,1,0,0,1,0,1,2837066236,0,2837066236,NEW YORK,18.87550926,1428285,290218,72884,336247,5.102903132,23.54201017,0.2511353534,1.158601465,29.6
ELMHURST,NY,0,0,0,0,0,0,0,0,NA,NA,NA,QUEENS,NA,1891325,341059,93780,262422,4.958428615,13.8750347,0.2749670878,0.7694328547,48.29
LONG ISLAND CITY,NY,0,0,0,0,0,0,0,0,NA,NA,NA,QUEENS,NA,1891325,341059,93780,262422,4.958428615,13.8750347,0.2749670878,0.7694328547,48.29
RIDGEWOOD,NY,0,0,0,0,0,0,0,0,NA,NA,NA,QUEENS,NA,1891325,341059,93780,262422,4.958428615,13.8750347,0.2749670878,0.7694328547,48.29
WOODSIDE,NY,0,0,0,0,0,0,0,0,NA,NA,NA,QUEENS,NA,1891325,341059,93780,262422,4.958428615,13.8750347,0.2749670878,0.7694328547,48.29
MAMARONECK,NY,0,0,0,0,0,0,0,0,0,44138000,44138000,WESTCHESTER,7.512126446,866599,102443,15126,45566,1.745443971,5.258025915,0.1476528411,0.4447936901,60.41
NEW ROCHELLE,NY,0,0,0,0,0,0,0,0,20690939,44138000,64828939,WESTCHESTER,7.512126446,866599,102443,15126,45566,1.745443971,5.258025915,0.1476528411,0.4447936901,60.41
WHITE PLAINS,NY,0,0,0,0,0,0,0,0,24985000,44138000,69123000,WESTCHESTER,7.512126446,866599,102443,15126,45566,1.745443971,5.258025915,0.1476528411,0.4447936901,60.41
BEACHWOOD,OH,1,0,0,0,0,0,0,0,0,42748880,42748880,CUYAHOGA,11.3220768,1498400,338591,11470,24028,0.7654831821,1.603577149,0.03387567892,0.07096467419,45.33
CLEVELAND,OH,1,0,0,0,0,0,0,0,468217030,42748880,510965910,CUYAHOGA,11.3220768,1498400,338591,11470,24028,0.7654831821,1.603577149,0.03387567892,0.07096467419,45.33
DEFIANCE,OH,0,0,0,0,0,0,0,0,NA,NA,NA,DEFIANCE,16.67420959,39987,207,101,2401,0.2525820892,6.004451447,0.4879227053,11.59903382,64.74
COLUMBUS,OH,1,0,0,0,0,0,0,0,135868246,30709953,166578199,FRANKLIN,10.98937893,869132,130190,6510,6508,0.7490231633,0.7487930487,0.05000384054,0.04998847838,58.27
BLUE ASH,OH,0,0,0,0,0,0,0,0,0,1565840,1565840,HAMILTON,13.05543709,873224,164744,4846,5516,0.5549549715,0.6316821343,0.02941533531,0.03348225125,61.58
CINCINNATI,OH,1,0,0,0,0,0,0,0,251883523,1565840,253449363,HAMILTON,13.05543709,873224,164744,4846,5516,0.5549549715,0.6316821343,0.02941533531,0.03348225125,61.58
LORAIN,OH,1,0,0,0,0,0,0,0,16011880,0,16011880,LORAIN,4.6191926,274909,19549,972,13124,0.3535715455,4.773943378,0.04972121336,0.6713386874,55.5
DAYTON,OH,1,0,0,0,0,0,0,0,115031492,33710935,148742427,MONTGOMERY,11.35739899,571697,94025,3214,4159,0.5621859132,0.7274832647,0.0341823983,0.04423291678,49.11
AKRON,OH,0,0,0,0,0,0,0,0,146554882,26966430,173521312,SUMMIT,10.43492889,524472,56418,2341,2732,0.4463536662,0.5209048338,0.04149384948,0.04842426176,47.39
MASON,OH,0,0,0,0,0,0,0,0,0,20684662,20684662,WARREN,0,99276,1700,169,378,0.1702324832,0.3807566784,0.09941176471,0.2223529412,66.49
OKLAHOMA CITY,OK,1,0,0,0,1,0,0,0,85589500,0,85589500,OKLAHOMA,1.626604557,568933,69846,5631,14008,0.9897474747,2.462152837,0.08062022163,0.2005555078,70.37
TULSA,OK,1,1,0,0,1,0,0,0.2,73468850,0,73468850,TULSA,13.77307701,470593,43312,3079,7615,0.6542808754,1.618171116,0.07108884374,0.1758173255,69.99
ASTORIA,OR,0,0,0,0,1,0,0,0,NA,NA,NA,CLATSOP,5.104909897,32489,167,442,446,1.360460464,1.372772323,2.646706587,2.670658683,48.58
BEND,OR,0,0,0,0,1,0,0,0,NA,NA,NA,DESCHUTES,0,62142,38,257,1052,0.4135689228,1.692896914,6.763157895,27.68421053,61.17
MEDFORD,OR,0,0,0,0,1,0,0,0,NA,NA,NA,JACKSON,8.603094101,132456,163,798,3954,0.6024642145,2.985142236,4.895705521,24.25766871,62.29
SALEM,OR,1,0,0,0,1,0,0,0,21693400,0,21693400,MARION,42.6148262,204692,1233,1975,9702,0.9648642839,4.739804194,1.601784266,7.868613139,56.77
PORTLAND,OR,1,0,0,0,1,0,0,0,138304600,0,138304600,MULTNOMAH,17.05695343,562640,29486,14163,11239,2.517240154,1.997547277,0.480329648,0.3811639422,45.75
PITTSBURGH,PA,1,0,0,0,0,1,0,0,331534071,188301660,519835731,ALLEGHENY,16.59537125,1450085,149272,7737,8175,0.5335549295,0.5637600554,0.05183155582,0.05476579667,47.75
READING,PA,0,0,0,0,0,1,0,0,63900690,30696200,94596890,BERKS,7.04098177,312509,7508,1247,9013,0.399028508,2.884076939,0.1660895045,1.20045285,62.43
BRISTOL,PA,0,0,0,0,0,0,0,0,0,37203100,37203100,BUCKS,3.372898817,479211,11832,3572,5684,0.7453919046,1.186116345,0.3018931711,0.4803921569,62.97
HARRISBURG,PA,0,0,0,0,0,0,0,0,53383541,0,53383541,DAUPHIN,19.63000679,232317,30961,1391,3585,0.5987508448,1.543150092,0.04492748942,0.1157908336,61.77
ALLENTOWN,PA,1,1,0,0,0,0,0,0.06666666667,44429700,0,44429700,LEHIGH,3.86509943,272349,3961,1449,7028,0.5320379366,2.580512504,0.365816713,1.774299419,59.32
NORRISTOWN,PA,0,1,0,0,0,0,0,0.01960784314,0,42743900,42743900,MONTGOMERY,1.052116394,643621,30517,7438,5391,1.155649054,0.8376047394,0.2437330013,0.1766556346,65.07
BETHLEHEM,PA,0,0,0,0,0,0,0,0,22216900,0,22216900,NORTHAMPTON,0.183434948,225418,3875,1171,7059,0.5194793672,3.131515673,0.3021935484,1.821677419,52.86
PHILADELPHIA,PA,1,1,0,0,0,1,0,1,900256737,0,900256737,PHILADELPHIA,21.78123856,1688210,633485,17764,63570,1.052238762,3.765526801,0.0280417058,0.1003496531,36.69
CENTRAL FALLS,RI,0,0,0,0,1,0,0,0,1154940,0,1154940,PROVIDENCE,17.91981125,571349,22270,3175,15935,0.5557023816,2.78901337,0.1425684778,0.7155365963,40.54
PROVIDENCE,RI,1,0,0,0,1,0,0,0,121771306,0,121771306,PROVIDENCE,17.91981125,571349,22270,3175,15935,0.5557023816,2.78901337,0.1425684778,0.7155365963,40.54
GREENVILLE,SC,0,0,0,0,0,0,0,0,29245700,30005625,59251325,GREENVILLE,5.531672478,287913,50420,878,2215,0.3049532324,0.7693296239,0.01741372471,0.04393097977,58.96
COLUMBIA,SC,0,0,0,0,0,0,0,0,35945837,400000,36345837,RICHLAND,39.87968826,269735,103055,2231,4328,0.8271080876,1.604537787,0.02164863422,0.0419969919,51.8
NASHVILLE,TN,0,1,0,0,0,1,0,0,110280470,0,110280470,DAVIDSON,24.85276794,477811,105642,2316,3741,0.4847104818,0.782945558,0.02192309877,0.03541205202,38.8
MEMPHIS,TN,0,0,0,0,0,0,0,0,193455700,0,193455700,SHELBY,0.656018615,777113,321757,3862,6921,0.4969676225,0.8906040692,0.01200284687,0.02151002154,46.81
SAN ANTONIO,TX,0,0,0,0,1,0,0,0,272787950,3622000,276409950,BEXAR,14.5341053,988800,68030,7500,460911,0.7584951456,46.61316748,0.1102454799,6.77511392,53.67
BRYAN,TX,0,0,0,0,1,0,0,0,9596000,0,9596000,BRAZOS,5.879618645,93588,10267,1099,9455,1.17429585,10.10279096,0.1070419792,0.9209116587,64.36
MAXWELL,TX,0,0,0,0,1,0,0,0,NA,NA,NA,CALDWELL,1.491180539,23637,3811,167,7790,0.7065194399,32.95680501,0.04382051955,2.044082918,47.71
JACKSONVILLE,TX,0,0,0,0,1,0,0,0,NA,NA,NA,CHEROKEE,1.254902482,38127,6979,131,1294,0.3435885331,3.393920319,0.01877059751,0.185413383,49.57
MURPHY,TX,0,0,0,0,1,0,0,0,NA,NA,NA,COLLIN,2.830222607,144576,6190,1032,7186,0.713811421,4.970396193,0.166720517,1.160904685,70.65
PLANO,TX,0,0,0,0,1,0,0,0,NA,NA,NA,COLLIN,2.830222607,144576,6190,1032,7186,0.713811421,4.970396193,0.166720517,1.160904685,70.65
DALLAS,TX,1,0,0,0,1,0,0,0,186011071,0,186011071,DALLAS,6.899856567,1556390,285787,15034,154561,0.9659532636,9.930737155,0.05260561187,0.5408258598,61.69
GARLAND,TX,0,0,0,0,1,0,0,0,12472000,0,12472000,DALLAS,6.899856567,1556390,285787,15034,154561,0.9659532636,9.930737155,0.05260561187,0.5408258598,61.69
MESQUITE,TX,0,0,0,0,1,0,0,0,7245000,0,7245000,DALLAS,6.899856567,1556390,285787,15034,154561,0.9659532636,9.930737155,0.05260561187,0.5408258598,61.69
HOUSTON,TX,0,1,0,0,1,0,0,0.0303030303,303474900,0,303474900,HARRIS,19.87702751,2409547,469290,46355,369077,1.923805595,15.31727748,0.09877687571,0.7864582667,60.32
TYLER,TX,0,0,0,0,1,0,0,0,12257300,NA,12257300,SMITH,5.405594826,128366,28059,353,4037,0.2749949364,3.144913762,0.01258063366,0.1438754054,65.55
ARLINGTON,TX,0,0,0,0,1,0,0,0,13739000,31974930,45713930,TARRANT,5.846124172,860880,100537,6465,67632,0.7509757457,7.856147198,0.06430468385,0.6727075604,58.9
FORT WORTH,TX,1,0,0,0,1,0,0,0,94506500,31974930,126481430,TARRANT,5.846124172,860880,100537,6465,67632,0.7509757457,7.856147198,0.06430468385,0.6727075604,58.9
AUSTIN,TX,1,0,0,0,1,0,0,0,81276450,0,81276450,TRAVIS,102.3790283,419573,44422,4105,72288,0.9783756343,17.22894467,0.09240916663,1.627301787,49.37
WOODS CROSS,UT,0,0,0,1,1,0,0,0,0,1340416,1340416,DAVIS,0,146540,2218,1709,5436,1.166234475,3.709567354,0.7705139766,2.450856628,83.45
SALT LAKE CITY,UT,1,1,0,1,1,0,0,0.05263157895,75844250,45286750,121131000,SALT LAKE,15.05135441,619066,3916,8021,30867,1.295661529,4.986059645,2.048263534,7.882277835,74.34
SOUTH JORDAN,UT,0,0,0,1,1,0,0,0.05263157895,0,45286750,45286750,SALT LAKE,15.05135441,619066,3916,8021,30867,1.295661529,4.986059645,2.048263534,7.882277835,74.34
ARLINGTON,VA,1,0,0,0,0,0,0,0,0,25287700,25287700,ARLINGTON,0.472532839,152599,13852,6631,8863,4.345375789,5.808032818,0.4787034363,0.6398354028,53.79
