Grantmaker Name,Grantmaker State,Recipient Name,Recipient City,Recipient State/Country,Year Authorized,Grant Amount,Support Strategies,Description,Fund_type,Type
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2013,700000,Advocacy; Program development; General support;,For general support to advance the human and civil rights of Asian-Americans and build and promote a fair and equitable society for all and core support for the Immigrant Rights Program,Private,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2013,300000,Capacity-building and technical assistance; Research; Public engagement and education;,For strategic planning and organizational development in order to better meet the evolving needs of the Asian-American community and for public education around comprehensive immigration reform,Private,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2012,800000,Continuing support;General support;Program development;,"For general support to advance civil and human rights for Asian-Americans, core support for the Immigrant Rights work and core support for the Voting Rights Project",Private,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2011,750000,Technical assistance;Financial sustainability;Program development;,For capacity building to strengthen the boards and staff of the Center and partner groups as coordinated but independent organizations jointly known as The Asian American Center for Advancing Justice,Private,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2011,700000,Program development;Continuing support;General support;,For general support to advance civil and human rights for Asian-Americans and to build and promote a fair and equitable society for all,Private,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2010,1050000,General support;Program development;,For general support to advance civil and human rights for Asian-Americans and for Asian-American Contractor Empowerment Project to promote and defend minority contracting programs,Private,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2010,564000,Program development; Publications;,For Census Community Education and Outreach Campaign to help ensure Asians are counted in Census and for collaborative project to update and widely distribute redistricting guide,Private,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2009,1200000,Litigation; Capacity-building and technical assistance; Public engagement and education;,"To develop and implement re-branding strategy, strengthen communications capacity, establish pro bono litigation program and conduct public education on immigration issues",Private,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2008,450000,Program development;,For Asian American Contractor Empowerment Project to defend and advance minority contracting programs in public and private sector,Private,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2008,600000,General support;Litigation;Capacity-building and technical assistance;,"For general support for litigation, policy advocacy and technical assistance to advance civil and human rights of Asian Americans and for strategic planning and organizational development",Private,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2007,225000,General support; Litigation; Technical assistance;,"For general support for litigation, policy advocacy and technical assistance to advance civil and human rights of Asian Americans",Private,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2007,200000,Program development;,For Rights Working Group to expand its communications activities to defend civil rights and civil liberties of U.S. citizens and residents in post-9/11 era,Private,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2006,350000,Equal access;Program development;,For Asian American Contractor Empowerment Project to defend and advance minority contracting programs in public and private sector,Private,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2006,200000,Capacity-building and technical assistance; Program development;,To implement strategic communication plan for Communications Capacity Project,Private,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2005,435825,Research;General support;Technical assistance;Capacity-building and technical assistance;,"For general support and capacity building to organization that advances civil and human rights of Asian Americans through litigation, policy advocacy, and technical assistance",Private,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2005,149246,Program development;,For Rights Working Group to launch National Field Campaign to mobilize individuals and organizations for protection of rights and liberties of all,Private,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2004,300000,Capacity-building and technical assistance; Program development;,To build and institutionalize communications capacity that fosters use of communications strategies to build public support for racial and social justice issues,Private,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2004,450000,General support; Capacity-building and technical assistance; Program development;,"For general support for community education, advocacy and technical assistance to address problems of Asian-American community and to implement Phase Two of strategic plan",Private,Advocacy
Ford Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2003,200000,Program development;,For Access to Democracy Project to ensure implementation of language assistance provision (Section 203) of Voting Rights Act,Private,Advocacy
Foundation to Promote Open Society,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2014,225000,,For general support,Private,Advocacy
Foundation to Promote Open Society,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2013,600000,General support;,For general support,Private,Advocacy
Foundation to Promote Open Society,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2011,600000,Continuing support;General support;,For general support,Private,Advocacy
Foundation to Promote Open Society,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2011,200000,Equipment; Information technology; Program development; Online media;,"For technological and web communications capacity and to conduct education, outreach and advocacy in the Asian American community in Houston on redistricting and Section 203 of the Voting Rights Act",Private,Advocacy
Foundation to Promote Open Society,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2010,300000,General support;,For general operating support,Private,Advocacy
Foundation to Promote Open Society,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2015,75000,,To engage stakeholders and community leaders on the importance of the 2020 Census for Asian American communities,Private,Advocacy
Foundation to Promote Open Society,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2015,225000,General support;,To provide general support,Private,Advocacy
Greater Houston Community Foundation,TX,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2007,5000,,,Community,Advocacy
Levi Strauss Foundation,CA,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2003,35000,Capacity-building and technical assistance;,For Name Change Project,Private,Advocacy
Lloyd A. Fry Foundation,IL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2008,3500,General support;,For unrestricted support,Private,Advocacy
Lloyd A. Fry Foundation,IL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2005,1000,,,Private,Advocacy
Mertz Gilmore Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2006,50000,Program development; Continuing support;,For Rights Working Group: Building Human Rights campaign for rights working group,Private,Advocacy
Mertz Gilmore Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2005,50000,Program development;,To build a human rights campaign for the rights working group,Private,Advocacy
NEO Philanthropy,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2015,62500,"Policy, advocacy and systems reform;Equal access;Advocacy;",This grant is for general support of Grantee including but not limited to staff salaries and all other operating and program costs to enable Grantee to pursue its charitable and educational purposes. Grant made through Four Freedom Funds (FFF).,Private,Advocacy
NEO Philanthropy,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2015,150000,Capacity-building and technical assistance;Equal access;Advocacy;,"Designated to support Grantee?™s Voting Rights Program project (the ?œproject?? to build the Asian American narrative, protect against voter discrimination, develop a proactive voting agenda, and include Asian Americans in the broader democracy agenda. Grant made through Four Freedom Funds (FFF).",Private,Advocacy
NEO Philanthropy,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2014,100000,"Advocacy;Policy, advocacy and systems reform;Equal access;",These funds are designated to support Asian American Justice Centera?¬â„¢s Voting Rights Program; Grant made through FFF - Four Freedoms Fund.,Private,Advocacy
NEO Philanthropy,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2014,60000,"Policy, advocacy and systems reform; Advocacy; Equal access; ",50% will be used for DACA activities and 50% may be used to serve expanded pool of potentially eligible immigrants who qualify under a future administrative relief program; Grant made through FFF - Four Freedoms Fund.,Private,Advocacy
NEO Philanthropy,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2014,30000,"Equal access;Policy, advocacy and systems reform;Advocacy;","Asian Americans Advancing Justice | AAJC and Asian and Pacific Islander American Vote seek $30,000 to provide AAPI voters in states formerly covered by Section 5 with the information and tools they need to exercise their right to vote in the post-Shelby environment; Grant made through SIF - Shelby Response Fund.",Private,Advocacy
NEO Philanthropy,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2013,100000,Program development;,Grant made through FFF - Four Freedoms Fund,Private,Advocacy
NEO Philanthropy,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2011,100000,Program development; Public engagement and education;,For AAJC's project to protect the voting rights of Asian Americans,Private,Advocacy
NEO Philanthropy,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2011,100000,General support;,For general operating support,Private,Advocacy
NEO Philanthropy,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2009,65000,Program development;,For National,Private,Advocacy
NEO Philanthropy,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2016,60000,Program development;,"Asian Americans Advancing Justice | AAJC (Advancing Justice | AAJC) requests $60,000 to support the ability of Asian American Pacific Islander (AAPI) voters to exercise their right to vote by increasing the capacity and reach of the national multilingual Asian language Election Protection Hotline.",Private,Advocacy
NEO Philanthropy,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2016,157661,Program development;,"This grant is to support Grantee?™s voting rights program to protect and advance the voting rights and active voter participation of Asian Americans, especially immigrant citizens.        *Addended $7,660.50 DISC on 6/7/16.",Private,Advocacy
Open Society Institute,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2008,75000,Continuing support; General support;,For general support,Private,Advocacy
Open Society Institute,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2008,125000,General support; Continuing support;,For general support,Private,Advocacy
Open Society Institute,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2009,75000,General support;Continuing support;,For general support,Private,Advocacy
Open Society Institute,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2007,125000,Program development;,For Affirmative Action and Voting Rights program areas,Private,Advocacy
Open Society Institute,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2007,75000,Continuing support;General support;,For general support,Private,Advocacy
Open Society Institute,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2006,112500,General support;,For general support,Private,Advocacy
Open Society Institute,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2006,25000,Convening;,To fund series of community hearings as part of Liberty and Justice for All campaign,Private,Advocacy
Open Society Institute,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2004,112500,General support; Continuing support;,For general support,Private,Advocacy
Open Society Institute,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2003,50000,Program development;,For program ensuring limited English proficient (LEP) individuals access to legal services and government programs,Private,Advocacy
Open Society Institute,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2003,125000,General support;,For general support,Private,Advocacy
"Rockefeller Brothers Fund, Inc.",NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2015,32000,General support;,For general support.,Private,Advocacy
"Rockefeller Brothers Fund, Inc.",NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2014,32000,Program development;,For its Emerging Constituencies: A Community Capacity and Leadership Initiative,Private,Advocacy
"Rockefeller Brothers Fund, Inc.",NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2016,50000,,For general support.,Private,Advocacy
Seyfarth Shaw Charitable Foundation,IL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2015,2500,General support;,General Charitable Purposes,Private,Advocacy
Seyfarth Shaw Charitable Foundation,IL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2014,1000,General support;,General Charitable Purposes,Private,Advocacy
Seyfarth Shaw Charitable Foundation,IL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2012,1000,General support;,General Charitable Purposes,Private,Advocacy
Silicon Valley Community Foundation,CA,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2007,10000,General support;,For operating support,Community,Advocacy
Skadden Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2015,31948,Fellowships;,Payments for Fellowships,Private,Advocacy
The Annie E. Casey Foundation,MD,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2012,5000,"Awards, prizes and competitions; Convening; ",For 16th Annual American Courage Awards,Private,Advocacy
The Annie E. Casey Foundation,MD,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2005,125000,Research; Program development;,"Toward planning, design and implementation of series of consultative sessions around English language acquisition and language access",Private,Advocacy
The California Endowment,CA,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2004,40000,"Equal access;Policy, advocacy and systems reform;Program development;","For expansion of efforts, including trainings and advocacy, that seek to improve health access for underserved Californians",Community,Advocacy
The Greater Washington Community Foundation,DC,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2006,5000,,,Community,Advocacy
The John D. and Catherine T. MacArthur Foundation,IL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2006,50000,Program development;,For Rights Working Group,Private,Advocacy
The John D. and Catherine T. MacArthur Foundation,IL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2004,125000,Program development;,For leadership role in Rights Working Group,Private,Advocacy
The John D. and Catherine T. MacArthur Foundation,IL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2003,100000,Program development;,To develop and implement Collaborating for Justice Project,Private,Advocacy
The Joyce Foundation,IL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2003,22000,"Policy, advocacy and systems reform;Program evaluations;Conferences and exhibits;",For two-day conference to assess performance of 1965 Voting Rights Act and in partnership with other civil rights groups to develop policy agenda and strategy in connection with Act's scheduled reauthorization in 2007,Private,Advocacy
The Prudential Foundation,NJ,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2004,75000,"Policy, advocacy and systems reform;Program development;",To educate community and policymakers on education issues faced by Asian-American students in public schools,Private,Advocacy
The Rockefeller Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2006,140000,Continuing support; General support;,"For general support of mission to advance human and civil rights of Asian Americans through advocacy, public policy, public education and litigation",Private,Advocacy
The Rockefeller Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2005,140000,General support;Continuing support;,For general support,Private,Advocacy
The Rockefeller Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2004,140000,General support;,For general support,Private,Advocacy
The Rockefeller Foundation,NY,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2003,137500,General support;,For general support,Private,Advocacy
The San Francisco Foundation,CA,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2015,25000,Program development;,,Community,Advocacy
The San Francisco Foundation,CA,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2013,1000,General support;,For general support,Community,Advocacy
Verizon Foundation,NJ,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2011,10000,,,Private,Advocacy
Verizon Foundation,NJ,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2005,9500,,,Private,Advocacy
Verizon Foundation,NJ,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2003,10000,General support;,For unrestricted support,Private,Advocacy
W. K. Kellogg Foundation,MI,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2014,1400000,Program development;,Dismantle structural racism in the justice system by strengthening the enforcement of existing civil and human rights laws,Private,Advocacy
W. K. Kellogg Foundation,MI,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2013,100000,Program development;,To foster youth-led discussions to galvanize students and youth around the country in inter-ethnic racial healing,Private,Advocacy
W. K. Kellogg Foundation,MI,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2010,100000,Program development;,To foster youth-led discussions to galvanize students and youth around the country in inter-ethnic racial healing,Private,Advocacy
W. K. Kellogg Foundation,MI,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2008,50000,Program development;,To eliminate barriers to participation of Asian American and Pacific Islanders in national political process,Private,Advocacy
Wallace Alexander Gerbode Foundation,CA,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2009,20000,Program development;,For its efforts to help strengthen the Asian American civil and human rights movement through more formal affiliations with partners sharing common principles and goals,Private,Advocacy
Wallace Alexander Gerbode Foundation,CA,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2008,15000,Program development;,For efforts to develop national affiliate structure,Private,Advocacy
Wallace Alexander Gerbode Foundation,CA,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2008,25000,Program development;,For Inclusiveness Project,Private,Advocacy
Wallace H. Coulter Foundation,FL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2014,500000,Capacity-building and technical assistance; Program development;,For matching grant for a broad agenda including capacity building and civic engagement,Private,Advocacy
Wallace H. Coulter Foundation,FL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2013,250000,Capacity-building and technical assistance;,For matching grant for capacity building,Private,Advocacy
Wallace H. Coulter Foundation,FL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2013,1000000,Capacity-building and technical assistance;,For capacity building and infrastructure,Private,Advocacy
Wallace H. Coulter Foundation,FL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2012,1000000,Capacity-building and technical assistance;Program development;,To support a broad agenda including capacity building and civic engagement,Private,Advocacy
Wallace H. Coulter Foundation,FL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2012,1000000,Capacity-building and technical assistance; Program development;,To support a broad agenda including capacity building and civic engagement,Private,Advocacy
Wallace H. Coulter Foundation,FL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2012,250000,Capacity-building and technical assistance; Program development;,For matching grant to support a broad agenda including capacity building and civic engagement,Private,Advocacy
Wallace H. Coulter Foundation,FL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2010,800000,Research and evaluation;Program development;,To improve the count of Asian-Americans in the 2010 census through outreach initiatives on a national level,Private,Advocacy
Wallace H. Coulter Foundation,FL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2010,1000000,Capacity-building and technical assistance;Program development;,"To provide funding for a broad agenda including capacity building, civic engagement and health and well being initiatives",Private,Advocacy
Wallace H. Coulter Foundation,FL,Asian Americans Advancing Justice (AAJC; Asian American Justice Center),Washington,DC,2010,1000000,Program development;Research and evaluation;,To improve the count of Asian-Americans in the 2010 census through outreach initiatives on a national level,Private,Advocacy
"Altos Foundation, Inc.",CA,Asian Americans for Community Involvement,San Jose,CA,2007,5500,,,Private,Mixed
AmazonSmile Foundation,WA,Asian Americans for Community Involvement,San Jose,CA,2014,59,General support;,General support,Private,Mixed
AT&T Foundation,TX,Asian Americans for Community Involvement,San Jose,CA,2005,21190,Online media;,"For Community Technology Center project, which will increase access to online and computer-based resources by Asian Pacific Islanders and other community groups in Santa Clara County, especially individuals with limited English proficiency",Private,Mixed
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2015,48500,Pilot programs;,10/28/2015 Payment Reform Pilot Program Support for Federally Qualified Health Centers,Private,Mixed
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2015,15000,General support;,07/31/2015 2015 BSAV Core Support Initiative,Private,Mixed
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2014,15000,General support;,For 2014 BSAV Core Support/General Operating Support,Private,Mixed
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2014,15000,General support;,For 2014 Community Health Center Core Support Initiative/General Operating Support,Private,Mixed
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2013,15000,General support;,For 2013 Community Health Center Core Support Initiative/General Operating Support,Private,Mixed
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2013,55235,Program development;,For Feasibility Analysis of a Consolidated Domestic Violence Technology Platform to Improve Access to Services in Santa Clara County/To assess the feasibility of consolidating domestic violence (DV) services and utilizing web and mobile phone-based technology to improve service access in Santa Clara County,Private,Mixed
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2012,20000,General support;,For Blue Shield Against Violence Core Support Initiative,Private,Mixed
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2012,15000,General support;,For Community Health Center Core Support,Private,Mixed
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2011,15000,Capacity-building and technical assistance; Program development; General support; Continuing support;,For Community Clinic and Core Support Initiative,Private,Mixed
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2010,25000,Program development;General support;Continuing support;,For Community Clinic Initiative,Private,Mixed
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2010,20000,Capacity-building and technical assistance; Program development;,For Blue Shield Against Violence (BSAV) Core Support Initiative,Private,Mixed
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2009,25000,Program development;,For Community Clinic Initiative,Private,Mixed
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2009,5000,,For Shelter Initiative,Private,Mixed
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2008,25000,Advocacy;Capacity-building and technical assistance;Program development;Continuing support;,For Community Clinic and Consortium Core Support Initiative,Private,Mixed
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2008,5000,,For Shelter Initiative,Private,Mixed
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2007,5000,,For California Shelters,Private,Mixed
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2007,25000,General support; Program development; Continuing support;,For Core Support Initiative for Clinics and Consortia,Private,Mixed
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2006,5000,Program development;,For California Shelters,Private,Mixed
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2006,25000,General support; Continuing support;,For core support initiative for clinics and consortia,Private,Mixed
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2005,30000,General support;Continuing support;,For core support initiative for clinics and consortia,Private,Mixed
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2005,5000,,,Private,Mixed
Blue Shield of California Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2004,20000,General support;,For core support,Private,Mixed
Castellano Family Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2016,2500,,Colectivo accion latina de ambiente,Private,Mixed
Castellano Family Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2016,2000,Program development;,Spanish-speaking programs/latino outreach,Private,Mixed
"Ella Gayle Hamlin Foundation, Inc.",NM,Asian Americans for Community Involvement,San Jose,CA,2015,3300,Program development;,Charitable,Private,Mixed
Fidelity Charitable Gift Fund,OH,Asian Americans for Community Involvement,San Jose,CA,2015,1000,Program development;,,Private,Mixed
Fidelity Charitable Gift Fund,OH,Asian Americans for Community Involvement,San Jose,CA,2015,100,,,Private,Mixed
Freeman Foundation,NY,Asian Americans for Community Involvement,San Jose,CA,2003,100000,Program development;Continuing support;,For Asian Immigrant and Refugee Economic and Education Opportunity Program,Private,Mixed
Horizons Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2009,2500,Program development;,To strengthen HIV prevention/education activities and provide rapid testing and counseling services,Private,Mixed
Horizons Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2006,5000,Program development;,"For programs to reduce incidence of HIV infection among API immigrants, particularly men who have sex with men, in Santa Clara County",Private,Mixed
Schwab Charitable Fund,CA,Asian Americans for Community Involvement,San Jose,CA,2014,7000,Program development;,,Private,Mixed
Schwab Charitable Fund,CA,Asian Americans for Community Involvement,San Jose,CA,2014,7000,Program development;,,Private,Mixed
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2015,37752,Program development;,,Community,Mixed
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2015,2000,Program development;,,Community,Mixed
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2015,750,Program development;,,Community,Mixed
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2015,27510,Program development;,,Community,Mixed
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2015,49500,Program development;,,Community,Mixed
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2015,125000,Program development;,,Community,Mixed
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2015,100,Program development;,,Community,Mixed
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2015,10000,Program development;,,Community,Mixed
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2014,25000,Program development;,Funder identified this grant as explicitly benefiting males of color,Community,Mixed
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2014,750,Program development;,,Community,Mixed
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2014,10000,Program development;,,Community,Mixed
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2014,1700,Program development;,,Community,Mixed
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2014,15000,Program development;,,Community,Mixed
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2014,10000,Program development;,,Community,Mixed
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2014,22500,Program development;,,Community,Mixed
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2014,3000,Program development;,,Community,Mixed
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2014,2000,Program development;,,Community,Mixed
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2014,1000,Program development;,,Community,Mixed
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2014,3280,Program development;,,Community,Mixed
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2013,50000,,,Community,Mixed
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2013,15000,,,Community,Mixed
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2013,3000,,,Community,Mixed
Silicon Valley Community Foundation,CA,Asian Americans for Community Involvement,San Jose,CA,2013,750,,,Community,Mixed
