Name,F.year,Incorporated,Panethnic,Address,Source,Website1,Website2,Website3,Contacted,Contact Details,Affiliated
San Diego Pan-Pacific Law Enforcement Association,1993,0,,"PO Box 122924 San Diego, CA. 92112",Encyclopedia of Associations,http://www.sdpanpac.org,,,,,
Society Of Asian Academic Surgeons,2012,0,,"257 Campus Dr, Stanford, CA 94305",National Directory of Nonprofit Organizations,https://www.asiansurgeon.org/,,,,,
Society of Asian Scientists and Engineers,2007,0,,"Lind Hall Rm 102, 207 Church Street SE, Minneapolis, MN 55455",National Directory of Nonprofit Organizations,,,,Yes,ideas@saseconnect.org,
South Asian Bar Association of North America,2003,0,,"P.O. Box 2733, San Francisco, CA 94126",National Directory of Nonprofit Organizations,,,https://www.facebook.com/pg/SABAlegal/about/?ref=page_internal,,,
South Asian Chamber of Commerce,1993,0,,"P.O. Box 820482, Houston, TX 77282",National Directory of Nonprofit Organizations,https://sacchouston.org/,,,,,
South Asian Journalists Association Inc,1994,0,,"Columbia University Graduate School of Journalism, New York, New York 10020",National Directory of Nonprofit Organizations,http://www.saja.org/,,,,,
Tarrant County Asian American Chamber Of Commerce,1990,0,,"1818 E. Pioneer Pkwy #100, Arlington, TX 76010",National Directory of Nonprofit Organizations,http://www.tcaacc.com,,,,,
Tennessee Asian Pacific American Bar Association,2007,0,,,Encyclopedia of Associations,https://sites.google.com/site/teresawchan/,,,,,1
Texas Asian Chamber of Commerce,1997,1,,"P.O. Box 26918, Austin, TX 78755",National Directory of Nonprofit Organizations,https://www.guidestar.org/profile/74-2775275,,,No,No contact details,
Texas Federation Of Asian American Chambers Of Commerce,2004,0,,"7908 Cameron Rd, Austin, TX 78754",National Directory of Nonprofit Organizations,,,https://www.businesswire.com/news/home/20040422005941/en/Texas-Asian-American-Business-Leaders-Converge-Public,,,
The Center for Asian Pacific American Women,1996,0,,"75 Broadway Suite 202, San Francisco, California 94111",National Directory of Nonprofit Organizations,http://www.apawomen.org,,,,,
The National Association Of Young Asian Professionals Inc,1982,0,,"4850 Sugarloaf Parkway, Suite 209-289, Lawrenceville, GA 30044",National Directory of Nonprofit Organizations,http://www.naaap.org/about-us/about-naaap/,,,,,
United Airlines Asian American Employees Association,2001,1,,"7509 Keystone Ave, Skokie, IL 60076-3928",National Directory of Nonprofit Organizations,https://www.guidestar.org/profile/31-1764595,,,No,No contact details,
Us Pan Asian American Chamber Of Commerce,1984,0,,"1329 18th Street NW Washington, DC 20036",National Directory of Nonprofit Organizations,https://uspaacc.com/,,,,,
Utah Asian Chamber of Commerce,2005,0,,"P.O. Box 3178, Salt Lake City, UT 84110-3178",National Directory of Nonprofit Organizations,https://voices-of-utah.com/2010/11/23/the-birth-of-the-utah-asian-chamber-of-commerce/,,,Yes,info@utahasianchamber.com,
Virginia Asian American Store Owners Association,2010,0,,"5400 Jefferson Davis Hwy, Richmond VA 23234",Encyclopedia of Associations,http://www.vaaasoa.com,,,,,
Virginia Asian Chamber of Commerce,2004,0,,"14214 Washington Hwy, Ashland, VA 23005 USA",National Directory of Nonprofit Organizations,,,https://www.facebook.com/pg/vaccommerce/about/?ref=page_internal,,,
Washington Asian Healthcare Professional Association,2011,0,,"P.O. Box 40087, Bellevue, WA, 98015-4087",National Directory of Nonprofit Organizations,,,https://www.facebook.com/WAHPA-Washington-Asian-Healthcare-Professional-Association-213453935358194/,,,
WEAMA Washington East Asian Medicine Association,1985,0,,"1401 Marvin Rd NE, Suite 307 #172, Lacey, WA 98516 USA",National Directory of Nonprofit Organizations,,,,Yes,info@weama.info,
